"Slug",":draft","Title","Sub Title","Product Description","Technical Table","Thumbnail","Thumbnail:alt","Brand","Product Categories","Product Tags","Specsheet","Gallery"
"ic-10","false","IC-10","Downlight-sized mini in-ceiling speaker","<p>The IC-10 (Holographix) is a downlight-sized speaker that hides in the ceiling to distribute music seamlessly and invisibly. Despite its small size it delivers high quality performance thanks to a full-range 75mm polypropylene cone with a large voice coil and magnet.</p><p>A simple twist-and-lock mounting system makes installation easy, multiple pairs can be wired together for even coverage over large areas, and it can be painted to blend into any colour scheme. It is semi-enclosed, protected from dust and ceiling debris, and water resistant.</p><ul><li><p>Full-range 75mm polypropylene cone with large voice coil and magnet</p></li><li><p>Twist-and-lock mounting for fast, easy installation</p></li><li><p>Paintable grille and semi-enclosed, water-resistant design</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>Full range 75mm polypropylene cone</td></tr><tr><td>Power handling</td><td>10-80 Watts RMS recommended amplifier power</td></tr><tr><td>Impedance</td><td>Nominally 8 Ohms (minimum 7.5 Ohms)</td></tr><tr><td>Frequency response</td><td>90Hz - 20kHz</td></tr><tr><td>Mounting depth</td><td>108mm</td></tr><tr><td>Dimensions</td><td>95mm diameter x 108mm</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling","",""
"ic-20","false","IC-20","Dual-concentric in-ceiling / outdoor speaker with low-profile mounting","<p>The IC-20 (Helix) features a large 150mm bass driver with oversized magnet and a 20mm dome tweeter in a dual-concentric configuration that gives uniform sound coverage in all directions. It uses weather-resistant materials and a rust-resistant stainless steel grille in a semi-enclosed design, with a low-profile 86mm mounting depth.</p><p>A twist-and-lock mounting system makes installation quick, and it is suitable for both indoor and outdoor use.</p><ul><li><p>Dual-concentric 150mm bass driver and 20mm dome tweeter</p></li><li><p>Weather-resistant build with rust-resistant stainless steel grille</p></li><li><p>Low-profile 86mm mounting depth with twist-and-lock install</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>150mm bass + 20mm dome tweeter (dual concentric)</td></tr><tr><td>Power handling</td><td>10-120 Watts RMS</td></tr><tr><td>Impedance</td><td>Nominally 8 Ohms (minimum 6 Ohms)</td></tr><tr><td>Sensitivity</td><td>86dB for 2.83V at 1m</td></tr><tr><td>Mounting depth</td><td>86mm</td></tr><tr><td>Cut-out diameter</td><td>164mm</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling, outdoor","",""
"ic-30","false","IC-30","Architectural Series in-ceiling speaker with swivel tweeter","<p>The IC-30 (Hemispherix AS) is part of Krix&#x27;s Architectural Series, suitable for home theatre, stereo listening, or high-quality background music. It uses a 100mm driver with large magnet and aluminium shorting ring for accurate bass and midrange clarity, plus a 26mm ring radiator tweeter that swivels to direct sound toward the listener.</p><p>A fully-enclosed back box maximises and controls bass, protects from ceiling debris, and drastically reduces sound leakage into adjoining rooms. It is tonally balanced to the Krix floorstanding and bookshelf range.</p><ul><li><p>100mm driver with large magnet and aluminium shorting ring</p></li><li><p>26mm swivel ring radiator tweeter aims sound at the listener</p></li><li><p>Fully-enclosed back box controls bass and reduces sound leakage</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>100mm driver + 26mm swivel ring radiator tweeter</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling","",""
"ic-32","false","IC-32","Angled-baffle frameless in-ceiling speaker","<p>The IC-32 (Hemispherix A20) delivers midrange clarity from a 100mm driver with large magnet and aluminium shorting ring, with extended highs from a 26mm ring radiator tweeter. It uses a 20-degree angled baffle to project sound toward the primary listening area, reducing reflections off walls and surfaces.</p><p>A fully-enclosed back box controls bass and reduces sound leakage, and the slim paintable rust-resistant stainless steel bezel grille locks onto magnets for easy installation.</p><ul><li><p>100mm driver and 26mm ring radiator tweeter</p></li><li><p>20-degree angled baffle aims sound at the listening area</p></li><li><p>Fully-enclosed back box with slim, paintable magnetic grille</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>100mm driver + 26mm ring radiator tweeter</td></tr><tr><td>Frequency response</td><td>65Hz - 40kHz (in room)</td></tr><tr><td>Baffle</td><td>20-degree angled</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling","https://cdn.prod.website-files.com/63e33686b480b80aa505edc2/64a4ec5badad23f0f1d6fed0_IC-32%20Rev1.0%20Specifications%20Sheet%20001.pdf",""
"ic-35s","false","IC-35S","Single-point stereo in-ceiling speaker","<p>The IC-35S (Hemispherix SPS) is a single-point stereo speaker with dual tweeters and a dual voice coil woofer, accepting both left and right channels for high-fidelity music playback from just one speaker. It uses a 5-inch woofer and two 20mm ring radiator tweeters with a low-profile 90mm mounting depth.</p><p>It is IP54 rated and suitable for indoor and outdoor use, and the slim, paintable bezel grille locks onto magnets for easy installation.</p><ul><li><p>Single-point stereo: left and right channels from one speaker</p></li><li><p>5-inch dual voice coil woofer with two 20mm ring radiator tweeters</p></li><li><p>IP54 rated for indoor and outdoor use; 90mm mounting depth</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Woofer</td><td>5-inch (130mm) dual voice coil</td></tr><tr><td>Tweeters</td><td>2 x 20mm ring radiator</td></tr><tr><td>Mounting depth</td><td>90mm</td></tr><tr><td>Weatherproofing</td><td>IP54 rated</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling, outdoor","",""
"ic-50","false","IC-50","Discreet hi-fi in-ceiling speaker for stereo music and multi-room audio","<p>The IC-50 (Atmospherix AS) is a discreet in-ceiling speaker that performs well for stereo music listening and high-quality background music across multiple rooms. It features a large 130mm bass driver with large magnet and copper shorting ring for bass and midrange clarity, and a 26mm ring radiator for extended high frequencies, with the components mounted directly on the front baffle (like Krix bookshelf speakers) for true hi-fi performance.</p><p>The rust-resistant stainless steel grille snaps into place with magnets, and a fully-enclosed back box protects the components from dust and debris while optimising bass and reducing sound leakage to other rooms.</p><ul><li><p>130mm bass driver with large magnet and copper shorting ring</p></li><li><p>26mm ring radiator tweeter for extended highs</p></li><li><p>Baffle-mounted components and fully-enclosed back box for hi-fi sound</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Bass driver</td><td>130mm (large magnet, copper shorting ring)</td></tr><tr><td>Tweeter</td><td>26mm ring radiator</td></tr><tr><td>Enclosure</td><td>Fully-enclosed back box</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling","",""
"ic-52","false","IC-52","Angled-baffle hi-fi in-ceiling speaker","<p>The IC-52 (Atmospherix A20) features a 130mm bass driver with large magnet and copper shorting ring for bass and midrange clarity, plus a 26mm ring radiator for high frequencies, with the bass driver and tweeter separately mounted on the front baffle (like Krix bookshelf speakers) for true hi-fi performance. A 20-degree angled baffle behind the slim magnetic grille projects sound toward the listening position for improved clarity in music and movies.</p><p>A fully-enclosed back box optimises bass in any setting and protects from ceiling debris and sound leakage. Designed, engineered, assembled and tested in Australia.</p><ul><li><p>130mm bass driver with copper shorting ring and 26mm ring radiator</p></li><li><p>20-degree angled baffle aims sound at the listening position</p></li><li><p>Fully-enclosed back box; slim paintable stainless steel grille</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Bass driver</td><td>130mm (large magnet, copper shorting ring)</td></tr><tr><td>Tweeter</td><td>26mm ring radiator</td></tr><tr><td>Baffle</td><td>20-degree angled</td></tr><tr><td>Enclosure</td><td>Fully-enclosed back box</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling","https://cdn.prod.website-files.com/63e33686b480b80aa505edc2/677e01ea3ee51725cd03ba0b_IC-52%20Specifications%20Sheet%20-%20updated%20images.pdf",""
"ic-80","false","IC-80","High-output weatherproof in-ceiling speaker for outdoor and large cinema use","<p>The IC-80 (Stratospherix AS) is as at home in an outdoor entertaining area as in a home theatre. It is driven by a massive 200mm bass driver with oversized magnet and a professional-grade compression tweeter in a dual-concentric configuration for uniform coverage in all directions.</p><p>A semi-enclosed back box ensures consistent, extended bass and protects against dust and debris, while the slim-bezel rust-resistant stainless steel grille and weatherproof build handle all conditions. It also suits high-volume indoor uses such as large concealed home cinemas.</p><ul><li><p>200mm bass driver with oversized magnet</p></li><li><p>Professional-grade compression tweeter in dual-concentric layout</p></li><li><p>Weatherproof build with semi-enclosed back box and slim grille</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Bass driver</td><td>200mm (oversized magnet)</td></tr><tr><td>Tweeter</td><td>Professional-grade compression (dual concentric)</td></tr><tr><td>Frequency response</td><td>45Hz - 20kHz (in room)</td></tr><tr><td>Power handling</td><td>20-200 Watts RMS</td></tr><tr><td>Impedance</td><td>Nominally 6 Ohms</td></tr><tr><td>Sensitivity</td><td>93dB (2.83V at 1m)</td></tr></tbody></table>","","","krix","in-ceiling","in-ceiling, outdoor","",""
"tropix","false","Tropix","All-weather outdoor speakers with big sound","<p>The all-weather Tropix is built to elevate outdoor entertaining with seriously big sound, offering smooth response and deep extension for high-quality music outdoors. It uses a 165mm bass driver and a 26mm damped mylar dome tweeter for high sensitivity and extended low frequencies.</p><p>The enclosure is marine-grade, all-weather and UV-stabilised, with internal ribs that reinforce the cabinet, minimise panel resonance and maximise bass. Marine-grade stainless hardware plus an aluminium grille and mounting bracket protect against corrosion.</p><ul><li><p>165mm bass driver with 26mm damped mylar dome tweeter</p></li><li><p>Marine-grade, UV-stabilised all-weather enclosure</p></li><li><p>Marine-grade stainless hardware and aluminium grille and bracket</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Bass driver</td><td>165mm (6.5-inch)</td></tr><tr><td>Tweeter</td><td>26mm damped mylar dome</td></tr><tr><td>Power handling</td><td>20-140 Watts RMS recommended amplifier power</td></tr><tr><td>Sensitivity</td><td>87dB for 2.83V at 1m</td></tr><tr><td>Impedance</td><td>Nominally 8 Ohms</td></tr></tbody></table>","","","krix","outdoor","outdoor","",""
"aquatix","false","Aquatix","Marine-grade waterproof 5-inch 2-way outdoor speakers","<p>The Aquatix is Krix&#x27;s waterproof outdoor speaker. It pairs a nominal 130mm polypropylene cone with rubber surround and a 22mm specially damped mylar dome with phase plug. A UV-stabilised polymer enclosure keeps it sun-resistant, while internal ribs reinforce the cabinet and minimise panel resonance.</p><p>It is fully weatherproof to IP54 for dust and moisture resistance, with marine-grade stainless steel hardware plus an aluminium grille and mounting bracket to protect against corrosion.</p><ul><li><p>130mm polypropylene cone and 22mm damped mylar dome with phase plug</p></li><li><p>UV-stabilised polymer enclosure with internal bracing</p></li><li><p>IP54 weatherproof with marine-grade stainless hardware</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>LF driver</td><td>Nominal 130mm (5-inch) polypropylene cone, rubber surround</td></tr><tr><td>HF driver</td><td>22mm (1-inch) damped mylar dome with phase plug</td></tr><tr><td>Frequency range</td><td>70Hz - 20kHz (on-wall response)</td></tr><tr><td>Power handling</td><td>20-100 Watts RMS recommended amplifier power</td></tr><tr><td>Sensitivity</td><td>87dB for 2.83V at 1m</td></tr><tr><td>Impedance</td><td>Nominally 8 Ohms (minimum 6.7 Ohms)</td></tr><tr><td>Weatherproofing</td><td>IP54 rated</td></tr></tbody></table>","","","krix","outdoor","outdoor","",""
