"Slug",":draft","Title","Sub Title","Product Description","Technical Table","Thumbnail","Thumbnail:alt","Brand","Product Categories","Product Tags","Specsheet","Gallery"
"bb15-mk3","true","BB15-MK3","Compact single 15-inch powered subwoofer","<p>The BB15-MK3 is a compact single-15 self-powered vented direct-radiating subwoofer that delivers room-shaking low end from a small box. Built around a neodymium woofer with 2,500W of amplification, it is designed to pair with smaller tops such as the DiaMon-MK3.</p><ul><li><p>15-inch neodymium woofer with 4.5-inch voice coil</p></li><li><p>2,500W RMS Class-D amplifier</p></li><li><p>CNC-machined 15mm birch plywood cabinet; IP65 connectors</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>15-inch (380mm) neodymium woofer, 4.5-inch (115mm) voice coil</td></tr><tr><td>Amplifier</td><td>2,500W RMS Class-D</td></tr><tr><td>Frequency response</td><td>40Hz - 115Hz (±3dB)</td></tr><tr><td>Max output</td><td>130dB peak / 127dB sustained (1m, half-space)</td></tr><tr><td>Dimensions</td><td>20.5 x 17 x 24 in (21.25 in high with feet)</td></tr><tr><td>Weight</td><td>70 lb (net)</td></tr><tr><td>Inputs</td><td>XLR-F signal in; powerCON TRUE1 TOP (IP65)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b70389777f3541984fce0b_image%2010.webp","BB15-MK3","bassboss","audio","subwoofer","",""
"ssp215-mk3","true","SSP215-MK3","Dual 15-inch powered subwoofer","<p>The SSP215-MK3 is a twin-15 self-powered vented direct-radiating subwoofer with premium 96kHz DSP and five-stage driver protection, delivering high-output low frequencies to 35Hz.</p><ul><li><p>Dual 15-inch long-excursion neodymium woofers, 4-inch voice coils</p></li><li><p>High-output amplification with auto-sensing 90-250V supply</p></li><li><p>96kHz DSP with five-stage driver protection; IP65 connectors</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 15-inch long-excursion neodymium woofers, 4-inch voice coils</td></tr><tr><td>Amplifier</td><td>5,000W (auto-sensing 90-250V)</td></tr><tr><td>Frequency response</td><td>35Hz - 100Hz (±3dB)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b709c15fbc65cbbf34e7cf_image%2010.webp","SSP215-MK3","bassboss","audio","subwoofer","",""
"ssp218-mk3","true","SSP218-MK3","Dual 18-inch powered subwoofer","<p>The SSP218-MK3 is a twin-18 self-powered vented direct-radiating subwoofer tuned for flat response to 30Hz, driven by two discrete amplifiers.</p><ul><li><p>Dual 18-inch neodymium woofers, 4-inch voice coils</p></li><li><p>Two discrete amplifiers (5,000W, auto-sensing 90-250V)</p></li><li><p>Tuned for flat response to 30Hz</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 18-inch neodymium woofers, 4-inch voice coils</td></tr><tr><td>Amplifier</td><td>5,000W (auto-sensing 90-250V)</td></tr><tr><td>Frequency response</td><td>30Hz - 100Hz (±3dB)</td></tr><tr><td>Max output</td><td>139dB peak / 136dB sustained (1m, half-space)</td></tr><tr><td>Weight</td><td>199 lb (net)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b70ace2d657ccfac64a22a_image%2010.webp","SSP218-MK3","bassboss","audio","subwoofer","",""
"zv28-mk3","true","ZV28-MK3","Dual 18-inch extended-depth powered subwoofer","<p>The ZV28-MK3 is an extended-depth vented subwoofer with dual long-excursion 18-inch drivers tuned very low for explosive sub-bass down to 23Hz.</p><ul><li><p>Dual 18-inch long-excursion neodymium woofers</p></li><li><p>Extended-depth vented design tuned to 23Hz</p></li><li><p>18mm Baltic birch plywood cabinet</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 18-inch long-excursion neodymium woofers</td></tr><tr><td>Amplifier</td><td>5,000W (auto-sensing 90-250V)</td></tr><tr><td>Frequency response</td><td>23Hz - 90Hz</td></tr><tr><td>Max output</td><td>137dB peak / 134dB sustained (1m, half-space)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b70c42351ee58545deea76_image%2010.webp","ZV28-MK3","bassboss","audio","subwoofer","",""
"sv9-mk3","true","SV9-MK3","Single 9-inch powered full-range loudspeaker","<p>The SV9-MK3 is a 2-way single-9 self-powered vented direct-radiating full-range loudspeaker small enough to carry in one hand, with a birch plywood enclosure and 96kHz DSP.</p><ul><li><p>2-way single 9-inch full-range top, ultra-portable</p></li><li><p>1200W asymmetrical Class-D amplifier</p></li><li><p>96kHz DSP; IP65 connectors; 110-240V global power</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Amplifier</td><td>1,200W asymmetrical Class-D (RMS)</td></tr><tr><td>LF driver</td><td>Custom 9-inch neodymium woofer, 2.5-inch voice coil</td></tr><tr><td>HF driver</td><td>1.4-inch voice-coil compression driver through a 1-inch throat horn</td></tr><tr><td>Frequency response</td><td>50Hz - 19,000Hz (±3dB)</td></tr><tr><td>Max output</td><td>118dB sustained / 121dB peak (1m, full-space)</td></tr><tr><td>Coverage</td><td>90 x 60 degrees</td></tr><tr><td>Weight</td><td>26 lb (net)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b6e34a27b016083732cdec_image%20j.webp","SV9-MK3","bassboss","audio","speaker","",""
"diamon-mk3","true","DiaMon-MK3","Single 12-inch coaxial powered loudspeaker","<p>The DiaMon-MK3 is a 2-way single-12 coaxial point-source mid-high loudspeaker in the smallest possible cabinet, designed to deliver loud, clear mids and highs and pair with subwoofers for the low end.</p><ul><li><p>2-way coaxial point-source 12-inch top</p></li><li><p>1200W Class-D amplifier (900W LF / 300W HF)</p></li><li><p>Tweeter fires through the centre of the 12-inch woofer (coaxial)</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Amplifier</td><td>1,200W Class-D SMPS with PFC (900W LF / 300W HF)</td></tr><tr><td>LF driver</td><td>12-inch neodymium woofer, 3-inch (76mm) copper voice coil</td></tr><tr><td>HF driver</td><td>3-inch (76mm) diaphragm compression driver, 1.4-inch exit, 80-degree conical waveguide (coaxial)</td></tr><tr><td>Frequency response</td><td>80Hz - 18,000Hz (±3dB)</td></tr><tr><td>Max output</td><td>123dB sustained / 126dB peak</td></tr><tr><td>Coverage</td><td>80 x 80 (conical)</td></tr><tr><td>Dimensions</td><td>14 x 14 x 13.5 in</td></tr><tr><td>Weight</td><td>30.6 lb (net)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b6e1f82c1352987c55056f_DiaMon-Reflection.webp","DiaMon-MK3","bassboss","audio","speaker","",""
"dv12-mk3","true","DV12-MK3","Single 12-inch powered full-range loudspeaker (MicroMain)","<p>The DV12-MK3 is a 2-way single-12 self-powered vented direct-radiating full-range top with wide, consistent horizontal coverage and tight vertical control. Preset 1 runs full-range to 40Hz, with further presets to integrate with subwoofers.</p><ul><li><p>2-way single 12-inch full-range top</p></li><li><p>3200W Class-D (2400W woofer / 800W compression driver)</p></li><li><p>120 x 20 degree coverage; full-range to 40Hz in Preset 1</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Amplifier</td><td>3,200W Class-D (2400W LF / 800W HF)</td></tr><tr><td>Drivers</td><td>12-inch woofer; 3-inch compression driver on waveguide</td></tr><tr><td>Frequency response</td><td>45Hz - 19kHz; full-range Preset 1 to 40Hz (-3dB)</td></tr><tr><td>Max SPL</td><td>134dB</td></tr><tr><td>Coverage</td><td>120 x 20 degrees</td></tr><tr><td>Dimensions</td><td>24.5 x 14.5 x 19 in</td></tr><tr><td>Weight</td><td>65 lb (net)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b6e4fea3d39ec4369b8395_image%20j.webp","DV12-MK3","bassboss","audio","speaker","",""
"at312-mk3","true","AT312-MK3","Triple 12-inch powered point-source loudspeaker","<p>The AT312-MK3 is a 3-way triple-12 self-powered direct-radiating coaxial point-source full-range loudspeaker - a vented LF section, sealed mid section and coaxially mounted HF section - for massive output and clarity at large-scale events.</p><ul><li><p>3-way triple 12-inch coaxial point-source top</p></li><li><p>4000W amplification (2400W woofers / 800W mid / 800W HF)</p></li><li><p>Coaxially mounted compression driver for point-source coherence</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Amplifier</td><td>4,000W (2400W woofers / 800W midrange / 800W tweeter)</td></tr><tr><td>LF drivers</td><td>2 x 12-inch neodymium woofers, 4-inch (100mm) voice coils</td></tr><tr><td>Midrange</td><td>12-inch neodymium, 3.5-inch (88mm) voice coil</td></tr><tr><td>HF</td><td>Coaxially mounted compression driver</td></tr><tr><td>Frequency response</td><td>60Hz - 19,000Hz (±3dB)</td></tr><tr><td>Max output</td><td>133dB measured (half-space) / 139dB calc peak (full-space)</td></tr><tr><td>Coverage</td><td>80 x 80 (conical)</td></tr><tr><td>Weight</td><td>120 lb (net)</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b7010645c12a8670ce892e_image%20j.webp","AT312-MK3","bassboss","audio","speaker","",""
"ccm12-mk3","true","CCM12-MK3","12-inch coaxial powered stage monitor","<p>The CCM12-MK3 is a 12-inch bi-amped coaxial wedge monitor with presets for full-range and mid-high operation, an asymmetrical Class-D amplifier, 96kHz DSP and IP65-rated connectors.</p><ul><li><p>12-inch coaxial powered wedge monitor</p></li><li><p>1200W asymmetrical Class-D (900W woofer / 300W HF)</p></li><li><p>96kHz DSP; full-range and mid-high presets</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Amplifier</td><td>1,200W asymmetrical Class-D (900W LF / 300W HF)</td></tr><tr><td>Drivers</td><td>12-inch coaxial; LF and HF both 3-inch voice coils; HF on 1.4-inch throat horn</td></tr><tr><td>Frequency response</td><td>60Hz - 19kHz</td></tr><tr><td>Coverage</td><td>80 degrees (conical)</td></tr><tr><td>Weight</td><td>38 lb</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb4938af/67b6e0747355c3023315a3cc_CCM12-Reflection.webp","CCM12-MK3","bassboss","audio","speaker","",""
"stackatoa","true","Stackatoa","Point-source dance stack system","<p>The Stackatoa (Stack-a-Toa) is a vertically stacked system combining the Kraken quad-21 subwoofer, the Makara double-21 subwoofer and the Krakatoa 4-way point-source loudspeaker, for maximum SPL from a minimal floor footprint. It was awarded Best in Show at 2026 NAMM.</p><ul><li><p>Phase-aligned stack of Kraken, Makara and Krakatoa</p></li><li><p>Six 21-inch subs, four 18-inch woofers, one 18-inch low-mid, one coaxial mid-high horn</p></li><li><p>Roughly 12 sq ft footprint; 10 ft 4 in tall</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Components</td><td>Kraken-MK3 + Makara-MK3 subwoofers + Krakatoa-MK3 point-source top</td></tr><tr><td>Driver complement</td><td>6 x 21-inch subs, 4 x 18-inch woofers, 1 x 18-inch low-mid, 1 coaxial mid-high horn</td></tr><tr><td>Frequency response</td><td>25Hz - 19kHz</td></tr><tr><td>Footprint</td><td>4 x 3 ft; height 10 ft 4 in</td></tr></tbody></table></figure>","https://cdn.prod.website-files.com/65f2989505d63045bb49388a/69706d380cdfa5fba5431039_Krakatoa-MK3_Makara-MK3_Kraken-MK3_Krak-Stack.avif","Stackatoa","bassboss","audio","speaker,subwoofer","",""
