Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet,Gallery
cl-s,true,CL-S Ceiling Adapter,Ceiling adapter for AIR-S series subwoofers,"<h3>Suspended ceiling install for AIR-S subwoofers</h3><p>The CL-S is MAG Audio's dedicated ceiling adapter family for the AIR-S installation subwoofers (AIR-S12, AIR-S15, AIR-S18 and their IP-rated counterparts). It hangs the cabinet securely overhead so low frequencies can be placed above the listening plane in clubs, lobbies and retail builds without sacrificing the rest of the floorplan.</p><ul><li>Three size variants - CL-S12, CL-S15 and CL-S18 - matched to each AIR-S enclosure</li><li>Compatible with both standard and IP weather-resistant subwoofer versions</li><li>Reliable factory-engineered hardware sized for the corresponding cabinet weight</li></ul><p>Like the rest of MAG's AIR mounting line, CL-S is a budget-friendly, install-friendly solution that gets sub-bass off the ground and out of the way for permanent installations indoors or out.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Ceiling adapter (flying bracket)</td></tr><tr><td>Variants</td><td>CL-S12, CL-S15, CL-S18 (each available in IP)</td></tr><tr><td>Compatible models</td><td>AIR-S12 / S15 / S18 and AIR-S12-IP / S15-IP / S18-IP</td></tr><tr><td>Mounting</td><td>Suspended ceiling / overhead</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor (IP versions)</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20main.png,CL-S Ceiling Adapter,mag-audio,audio,"install-kit, subwoofer",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/cl-s_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12%20iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12%20side.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12-IP%20iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20iso.png"
lair-122,true,LAIR-122 Mounting U-Bracket,Wall or ceiling U-bracket for AIR-122 speakers,"<h3>Dedicated U-bracket for AIR-122</h3><p>LAIR-122 is the factory U-bracket sized for the MAG Audio AIR-122 two-way installation loudspeaker. It carries the cabinet on wall or ceiling while preserving the speaker's full tilt and rotation range, so coverage can be tuned to the room after the box is up.</p><ul><li>Purpose-built for the AIR-122 and the weather-resistant AIR-122-IP</li><li>Wall or ceiling mounting, indoor or outdoor with the IP variant</li><li>Lightweight, install-friendly hardware engineered by MAG for the matching enclosure</li></ul><p>Like the rest of MAG's LAIR line, the bracket is positioned as a budget-friendly, beginner-friendly solution that takes the guesswork out of permanent AIR-series installs in retail, hospitality and touring rigs.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>U-bracket (yoke)</td></tr><tr><td>Mounting</td><td>Wall or ceiling</td></tr><tr><td>Compatible models</td><td>AIR-122, AIR-122-IP (use LAIR-122-IP variant)</td></tr><tr><td>Adjustment</td><td>Tilt and rotation</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220001.png,LAIR-122 Mounting U-Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/lair-122_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220006-.png"
lair-152,true,LAIR-152 Mounting U-Bracket,Wall or ceiling U-bracket for AIR-152 speakers,"<h3>Dedicated U-bracket for AIR-152</h3><p>LAIR-152 is the factory U-bracket designed around the MAG Audio AIR-152 15-inch two-way installation loudspeaker. It hangs the cabinet from wall or ceiling and keeps the AIR-152's tilt and rotation range fully usable, so the throw can be aimed precisely after the box is mounted.</p><ul><li>Matched to the AIR-152 and the weather-resistant AIR-152-IP (LAIR-152-IP variant)</li><li>Wall or ceiling mount with adjustable angle</li><li>Reliable, factory-engineered hardware sized for the AIR-152 cabinet weight</li></ul><p>The LAIR-152 is part of MAG's affordable AIR mounting line - install-friendly, lightweight and ready for permanent indoor or outdoor jobs in retail, leisure and live venues.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>U-bracket (yoke)</td></tr><tr><td>Mounting</td><td>Wall or ceiling</td></tr><tr><td>Compatible models</td><td>AIR-152, AIR-152-IP (use LAIR-152-IP variant)</td></tr><tr><td>Adjustment</td><td>Tilt and rotation</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520001.png,LAIR-152 Mounting U-Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/lair-152_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520006-.png"
lair-62,true,LAIR-62 Mounting U-Bracket,Wall or ceiling U-bracket for AIR-62 speakers,"<h3>Dedicated U-bracket for AIR-62</h3><p>LAIR-62 is the factory U-bracket designed for the compact MAG Audio AIR-62 6.5-inch installation loudspeaker. It mounts the cabinet on a wall or ceiling and lets installers angle the box precisely toward the listening area after fixing.</p><ul><li>Purpose-built for the AIR-62 and the weather-resistant AIR-62-IP (LAIR-62-IP variant)</li><li>Wall or ceiling mounting with tilt and rotation adjustment</li><li>Lightweight, factory-engineered hardware matched to the AIR-62 cabinet</li></ul><p>As with the rest of the LAIR line, the LAIR-62 is intended as an affordable, install-friendly bracket suited to retail, hospitality, fitness, AV-over-IP and outdoor projects.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>U-bracket (yoke)</td></tr><tr><td>Mounting</td><td>Wall or ceiling</td></tr><tr><td>Compatible models</td><td>AIR-62, AIR-62-IP (use LAIR-62-IP variant)</td></tr><tr><td>Adjustment</td><td>Tilt and rotation</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620001.png,LAIR-62 Mounting U-Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/lair-62_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620006-.png"
lair-82,true,LAIR-82 Mounting U-Bracket,Wall or ceiling U-bracket for AIR-82 speakers,"<h3>Dedicated U-bracket for AIR-82</h3><p>LAIR-82 is the factory U-bracket designed for the MAG Audio AIR-82 8-inch two-way installation loudspeaker. It carries the cabinet on wall or ceiling and keeps the full tilt and rotation range available so coverage can be set after mounting.</p><ul><li>Matched to the AIR-82 and the weather-resistant AIR-82-IP (LAIR-82-IP variant)</li><li>Wall or ceiling mount, indoor or outdoor with the IP version</li><li>Lightweight, factory-engineered hardware sized for the AIR-82 cabinet weight</li></ul><p>The LAIR-82 belongs to MAG's affordable AIR mounting family - install-friendly, lightweight and ready for permanent jobs in retail, hospitality, leisure and outdoor environments.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>U-bracket (yoke)</td></tr><tr><td>Mounting</td><td>Wall or ceiling</td></tr><tr><td>Compatible models</td><td>AIR-82, AIR-82-IP (use LAIR-82-IP variant)</td></tr><tr><td>Adjustment</td><td>Tilt and rotation</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820001.png,LAIR-82 Mounting U-Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/lair-82_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820006-.png"
lls,true,LLS Low-Profile Wall Bracket,Low-profile wall mount for AIR-S series subwoofers,"<h3>Tight-to-wall mounting for AIR-S subs</h3><p>The LLS is a low-profile wall bracket engineered for the MAG Audio AIR-S series of installation subwoofers. Its compact two-part construction pulls the cabinet as close to the wall as possible, freeing up valuable floor space in clubs, restaurants, retail and back-of-house equipment rooms.</p><ul><li>Two-part design installs quickly - one half goes on the wall, the other on the subwoofer</li><li>Locking bolt underneath the cabinet adds positive mechanical security</li><li>Works with AIR-S12, AIR-S15, AIR-S18 and their IP weather-resistant versions</li></ul><p>Like the rest of MAG's AIR mounting line, the LLS is an affordable, install-friendly solution sized correctly at the factory for the matching subwoofer cabinet.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Low-profile wall bracket</td></tr><tr><td>Dimensions (W x D x H)</td><td>446 x 300 x 25 mm</td></tr><tr><td>Weight</td><td>2.88 kg</td></tr><tr><td>Construction</td><td>Two-part with locking bolt</td></tr><tr><td>Compatible models</td><td>AIR-S12, AIR-S15, AIR-S18 and AIR-S12-IP, AIR-S15-IP, AIR-S18-IP</td></tr><tr><td>Mounting</td><td>Wall, low-profile (close to wall)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS-WH0006.png,LLS Low-Profile Wall Bracket,mag-audio,audio,"install-kit, subwoofer",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/lls_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS-WH0006.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0005.png"
air-cl,true,AIR-CL Ceiling Mount,Ceiling mount for AIR-C6 and AIR-C8 speakers,"<h3>Overhead mount for the larger AIR-C cabinets</h3><p>AIR-CL is MAG Audio's dedicated ceiling-mount accessory for the AIR-C6 and AIR-C8 installation loudspeakers. It suspends the speaker from the ceiling while leaving the full aiming range of the cabinet usable so coverage can be set after install.</p><ul><li>Matched to the AIR-C6 (6.5"") and AIR-C8 (8"") two-way installation cabinets</li><li>Ceiling mounting with adjustable angle for room tuning</li><li>Factory-engineered hardware sized for the AIR-C cabinet weight and shape</li></ul><p>Part of the MAG AIR-C accessory line - an affordable, install-friendly system aimed at retail, hospitality, clubs and small entertainment venues where permanent overhead placement is needed.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Ceiling mount</td></tr><tr><td>Compatible models</td><td>AIR-C6, AIR-C8</td></tr><tr><td>Mounting</td><td>Ceiling (suspended / fixed)</td></tr><tr><td>Adjustment</td><td>Aim / tilt</td></tr><tr><td>Application</td><td>Permanent installation, indoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_main.png,AIR-CL Ceiling Mount,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/air-cl_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_dym.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_main.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_side.png"
air-cs,true,AIR-CS Ceiling Mount,Ceiling mount for compact AIR-C series speakers,"<h3>Overhead mount for the compact AIR-C cabinets</h3><p>AIR-CS is the MAG Audio ceiling-mount accessory designed for the smaller speakers in the AIR-C installation series - the AIR-C24, AIR-C4 / C4T and AIR-C5 / C5T. It suspends the speaker overhead while leaving the cabinet's full aiming range usable, so coverage can be fine-tuned to the room after install.</p><ul><li>Compatible with AIR-C24, AIR-C4, AIR-C4T, AIR-C5 and AIR-C5T (including 70/100 V transformer versions)</li><li>Ceiling mounting with tilt and rotation adjustment</li><li>Factory-engineered hardware sized for the AIR-C cabinet weight</li></ul><p>Part of MAG's affordable, install-friendly AIR-C accessory line for retail, hospitality, cafes, bars and small entertainment venues.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Ceiling mount</td></tr><tr><td>Compatible models</td><td>AIR-C24, AIR-C4, AIR-C4T, AIR-C5, AIR-C5T</td></tr><tr><td>Mounting</td><td>Ceiling (suspended / fixed)</td></tr><tr><td>Adjustment</td><td>Tilt and rotation</td></tr><tr><td>Application</td><td>Permanent installation, indoor</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_main.png,AIR-CS Ceiling Mount,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/air-cs_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_dym.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_main.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_side.png"
h-air-12,true,H-AIR-12 Horizontal Bracket,Horizontal mounting bracket for AIR-CX12,"<h3>Horizontal yoke for AIR-CX12</h3><p>The H-AIR-12 is MAG Audio's dedicated horizontal bracket for the AIR-CX12 two-way installation loudspeaker. It mounts the 12-inch cabinet on its side - the orientation typically used when the speaker needs to fire down a long, narrow space such as a corridor, balcony front or under-balcony fill.</p><ul><li>Purpose-built for the AIR-CX12 and the weather-resistant AIR-CX12-IP</li><li>Horizontal orientation with adjustable tilt for precise aim</li><li>Factory-engineered hardware matched to the AIR-CX12 cabinet weight</li></ul><p>Part of the MAG AIR-C accessory line - an affordable, install-friendly system for clubs, retail, malls, theatre lobbies and similar permanent install venues.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Horizontal mounting bracket (yoke)</td></tr><tr><td>Compatible models</td><td>AIR-CX12, AIR-CX12-IP</td></tr><tr><td>Mounting</td><td>Wall or ceiling, horizontal orientation</td></tr><tr><td>Adjustment</td><td>Tilt</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor (with IP cabinet)</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0001.png,H-AIR-12 Horizontal Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/h-air-12_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0006.png"
v-air-12,true,V-AIR-12 Vertical Bracket,Vertical mounting bracket for AIR-CX12,"<h3>Vertical yoke for AIR-CX12</h3><p>The V-AIR-12 is MAG Audio's dedicated vertical bracket for the AIR-CX12 two-way installation loudspeaker. It mounts the 12-inch cabinet upright - the standard orientation for main-PA duties in clubs, restaurants and similar fixed venues - and preserves the cabinet's tilt range so coverage can be set after mounting.</p><ul><li>Purpose-built for the AIR-CX12 and the weather-resistant AIR-CX12-IP</li><li>Vertical orientation with adjustable tilt for precise aim</li><li>Factory-engineered hardware matched to the AIR-CX12 cabinet weight</li></ul><p>Part of the MAG AIR-C accessory line - an affordable, install-friendly system for permanent indoor and outdoor installations.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Type</td><td>Vertical mounting bracket (yoke)</td></tr><tr><td>Compatible models</td><td>AIR-CX12, AIR-CX12-IP</td></tr><tr><td>Mounting</td><td>Wall or ceiling, vertical orientation</td></tr><tr><td>Adjustment</td><td>Tilt</td></tr><tr><td>Application</td><td>Permanent installation, indoor or outdoor (with IP cabinet)</td></tr><tr><td>Color</td><td>Black (white finish available)</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0001.png,V-AIR-12 Vertical Bracket,mag-audio,audio,install-kit,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/v-air-12_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0006.png"
