Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
cs352,true,CS352,SMART AMP | 2 CHANNELS | 350 WATTS PER CHANNEL,"<p>The LEA Professional CS352 is a 2-channel Network CONNECT Series smart amplifier delivering 350 watts per channel at 4&Omega;, 8&Omega;, 70V, and 100V (175W at 2&Omega;). Per-channel HiZ/LoZ selection and a network-connected design make it well suited to small and medium commercial installations.</p><p>Every channel has onboard DSP with input/output processing, parametric EQ, high- and low-pass crossovers, limiting, and delay. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — simplify network setup. Power-over-network control, cloud monitoring through the LEA platform, and selectable 70V/100V/low-impedance operation per channel make CS352 straightforward to deploy and manage across zoned commercial audio.</p>","<table><tbody><tr><th>Channels</th><td>2</td></tr><tr><th>Power per Channel (2&Omega;)</th><td>175W</td></tr><tr><th>Power per Channel (4&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (8&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (70V)</th><td>350W</td></tr><tr><th>Power per Channel (100V)</th><td>350W</td></tr><tr><th>Audio Inputs</th><td>Analog balanced</td></tr><tr><th>Network</th><td>Wi-Fi AP, Wi-Fi, or FAST Ethernet</td></tr><tr><th>DSP</th><td>Onboard DSP — EQ, crossovers, limiting, delay per channel</td></tr><tr><th>Output Modes</th><td>Low-Z, 70V, 100V selectable per channel</td></tr><tr><th>Cloud</th><td>LEA cloud monitoring & control</td></tr><tr><th>Chassis</th><td>1U rack</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS352_Connect_Series_LEA_Professional_Front_NOSHADOW.png,CS352 — LEA Professional 2-channel 350W smart amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-dante-connect-series.pdf
cs354,false,CS354,SMART AMP | 4 CHANNELS | 350 WATTS PER CHANNEL,"<p dir=""auto"">The LEA Professional CS354 is a 4-channel Network CONNECT Series smart amplifier delivering 350 watts per channel at 4Ω, 8Ω, 70V, and 100V (175W at 2Ω). With selectable HiZ/LoZ on a per-channel basis and a compact 1U chassis, it is well suited to small and medium commercial installations such as houses of worship, hospitality, education, and corporate AV.</p><p dir=""auto"">The amplifier provides three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or Local Area Network via FAST Ethernet — with no proprietary software required. An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core supports 8-band parametric EQ per channel, crossovers up to 48 dB/octave, and real-time load monitoring. Through the LEA CONNECT cloud platform and browser-based WebUI, integrators can configure, monitor, and troubleshoot from anywhere in the world with no VPN required.</p>","<figure><table><tbody><tr><th><p dir=""auto"">Channels</p></th><td><p dir=""auto"">4</p></td></tr><tr><th><p dir=""auto"">Power per Channel (2Ω)</p></th><td><p dir=""auto"">175W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (4Ω)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (8Ω)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (70V / 100V)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Analog Inputs</p></th><td><p dir=""auto"">4 balanced, selectable 26 dB / 34 dB sensitivity</p></td></tr><tr><th><p dir=""auto"">Network</p></th><td><p dir=""auto"">Built-in Wi-Fi AP, existing Wi-Fi, or FAST Ethernet (Cat5/Cat6)</p></td></tr><tr><th><p dir=""auto"">DSP</p></th><td><p dir=""auto"">Analog Devices Sigma 96kHz, 32-bit core; 8-band parametric EQ/channel; up to 48 dB/oct crossovers</p></td></tr><tr><th><p dir=""auto"">Control</p></th><td><p dir=""auto"">LEA CONNECT Cloud, Web Browser UI, 3rd-party API</p></td></tr><tr><th><p dir=""auto"">Dimensions</p></th><td><p dir=""auto"">14.25"" L × 19"" W × 1U (362 × 482 mm)</p></td></tr><tr><th><p dir=""auto"">Weight</p></th><td><p dir=""auto"">14 lbs / 4 kg</p></td></tr></tbody></table></figure>",https://framerusercontent.com/images/QDgt3aaA79wNK3D8IrMTrPQ0WY.png,Professional amplifier with black front panel and indicators.,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-dante-connect-series.pdf
cs702,true,CS702,SMART AMP | 2 CHANNELS | 700 WATTS PER CHANNEL,"<p>The LEA Professional CS702 is a 2-channel Network CONNECT Series smart amplifier delivering 700 watts per channel at 4&Omega;, 8&Omega;, 70V, and 100V (350W at 2&Omega;). Per-channel HiZ/LoZ selection and a network-connected design make it well suited to small and medium commercial installations.</p><p>Every channel has onboard DSP with input/output processing, parametric EQ, high- and low-pass crossovers, limiting, and delay. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — simplify network setup. Power-over-network control, cloud monitoring through the LEA platform, and selectable 70V/100V/low-impedance operation per channel make CS702 straightforward to deploy and manage across zoned commercial audio.</p>","<table><tbody><tr><th>Channels</th><td>2</td></tr><tr><th>Power per Channel (2&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (4&Omega;)</th><td>700W</td></tr><tr><th>Power per Channel (8&Omega;)</th><td>700W</td></tr><tr><th>Power per Channel (70V)</th><td>700W</td></tr><tr><th>Power per Channel (100V)</th><td>700W</td></tr><tr><th>Audio Inputs</th><td>Analog balanced</td></tr><tr><th>Network</th><td>Wi-Fi AP, Wi-Fi, or FAST Ethernet</td></tr><tr><th>DSP</th><td>Onboard DSP — EQ, crossovers, limiting, delay per channel</td></tr><tr><th>Output Modes</th><td>Low-Z, 70V, 100V selectable per channel</td></tr><tr><th>Cloud</th><td>LEA cloud monitoring & control</td></tr><tr><th>Chassis</th><td>1U rack</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS702_Connect_Series_LEA_Professional_Front_NOSHADOW.png,CS702 — LEA Professional 2-channel 700W smart amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-dante-connect-series.pdf
cs704,false,CS704,SMART AMP | 4 CHANNELS | 700 WATTS PER CHANNEL,"<p dir=""auto"">The LEA Professional CS704 is a 4-channel Network CONNECT Series smart amplifier delivering 700 watts per channel at 4Ω, 8Ω, 70V, and 100V (350W at 2Ω). With selectable HiZ/LoZ per channel and a compact 1U chassis, it is ideal for medium to large commercial installations such as houses of worship, hospitality, education, and corporate AV.</p><p dir=""auto"">The unit provides three ways to connect — built-in Wi-Fi access point, existing Wi-Fi network, or Local Area Network via FAST Ethernet — eliminating the need for proprietary software. An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core delivers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms of output delay per channel, and real-time load monitoring. Through the LEA CONNECT cloud platform and browser-based WebUI, integrators can configure, monitor, and troubleshoot the amplifier from anywhere in the world with no VPN required.</p>","<figure><table><tbody><tr><th><p dir=""auto"">Channels</p></th><td><p dir=""auto"">4</p></td></tr><tr><th><p dir=""auto"">Power per Channel (2Ω)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (4Ω)</p></th><td><p dir=""auto"">700W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (8Ω)</p></th><td><p dir=""auto"">700W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (70V / 100V)</p></th><td><p dir=""auto"">700W</p></td></tr><tr><th><p dir=""auto"">Analog Inputs</p></th><td><p dir=""auto"">4 balanced, selectable 26 dB / 34 dB sensitivity</p></td></tr><tr><th><p dir=""auto"">Network</p></th><td><p dir=""auto"">Built-in Wi-Fi AP, existing Wi-Fi, or FAST Ethernet (Cat5/Cat6)</p></td></tr><tr><th><p dir=""auto"">DSP</p></th><td><p dir=""auto"">Analog Devices Sigma 96kHz, 32-bit core; 8-band parametric EQ/channel; up to 48 dB/oct crossovers; 100 ms delay/channel</p></td></tr><tr><th><p dir=""auto"">Control</p></th><td><p dir=""auto"">LEA CONNECT Cloud, Web Browser UI, 3rd-party API</p></td></tr><tr><th><p dir=""auto"">Dimensions</p></th><td><p dir=""auto"">14.25"" L × 19"" W × 1U (362 × 482 mm)</p></td></tr><tr><th><p dir=""auto"">Weight</p></th><td><p dir=""auto"">14 lbs / 4 kg</p></td></tr></tbody></table></figure>",https://framerusercontent.com/images/nGotv6OPN1unFIwqovgSXZY4Bq8.png,LEA Professional Connect Series 704 amplifier front and back.,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-dante-connect-series.pdf
cs1504,false,CS1504,HIGH POWER SMART AMP | 4 CH | 1500 WATTS/CH,"<p dir=""auto"">The LEA Professional CS1504 is a 4-channel high-power smart amplifier delivering 1,500 watts per channel at 2Ω, 4Ω, 8Ω, 70V, and 100V, making it ideal for large-scale fixed installations that demand uncompromising headroom. As part of the Network CONNECT Series, it offers three ways to connect: a built-in Wi-Fi access point, an existing Wi-Fi network, or a Local Area Network via FAST Ethernet, eliminating the need to download proprietary software.</p><p dir=""auto"">The on-board Analog Devices Sharc 96kHz DSP with a 32-bit core provides linear-phase FIR crossovers, up to 4 seconds of delay per channel, 16-band parametric EQ per channel, and real-time load monitoring. Through the LEA CONNECT cloud platform and web-browser UI, integrators can configure, monitor, and troubleshoot from anywhere in the world — no VPN required — while third-party API support enables seamless integration with Crestron, AMX, Q-SYS, and other control systems.</p>","<figure><table><tbody><tr><th><p dir=""auto"">Channels</p></th><td><p dir=""auto"">4</p></td></tr><tr><th><p dir=""auto"">Power per Channel (2Ω)</p></th><td><p dir=""auto"">1500W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (4Ω)</p></th><td><p dir=""auto"">1500W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (8Ω)</p></th><td><p dir=""auto"">1500W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (70V / 100V)</p></th><td><p dir=""auto"">1500W</p></td></tr><tr><th><p dir=""auto"">Analog Inputs</p></th><td><p dir=""auto"">4 balanced, selectable 26 dB / 34 dB sensitivity</p></td></tr><tr><th><p dir=""auto"">Network</p></th><td><p dir=""auto"">Built-in Wi-Fi Access Point, existing Wi-Fi, or FAST Ethernet (Cat5/Cat6)</p></td></tr><tr><th><p dir=""auto"">DSP</p></th><td><p dir=""auto"">Analog Devices Sharc 96kHz, 32-bit core; FIR + IIR crossovers up to 48 dB/oct; 16-band parametric EQ/channel; up to 4 s delay/channel</p></td></tr><tr><th><p dir=""auto"">Control</p></th><td><p dir=""auto"">LEA CONNECT Cloud, Web Browser UI, 3rd-party API</p></td></tr><tr><th><p dir=""auto"">Dimensions</p></th><td><p dir=""auto"">17.88"" L × 19"" W × 2U (454 × 482 mm)</p></td></tr><tr><th><p dir=""auto"">Weight</p></th><td><p dir=""auto"">26 lbs / 11.8 kg</p></td></tr></tbody></table></figure>",https://framerusercontent.com/images/8ow7obIJUZGdWinbuoJ2XSYHZVw.png,LEA Professional Connect Series 1504D amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-1504.pdf
cs352d,false,CS352D,SMART AMP | 2 CHANNELS | 350 WATTS PER CHANNEL,"<p dir=""auto"">The LEA Professional CS352D is a 2-channel Dante CONNECT Series smart amplifier delivering 350 watts per channel at 4Ω, 8Ω, 70V, and 100V (175W at 2Ω). It is purpose-built for small to mid-scale commercial installations where Dante audio networking, cloud-based control, and selectable HiZ/LoZ outputs per channel are required.</p><p dir=""auto"">The amplifier provides 2 balanced analog inputs with selectable 26/34 dB sensitivity plus 8 × 8 Dante at 96/48 kHz (AES67 configurable via Dante Controller). An Analog Devices Sigma 96kHz DSP with a 32-bit core delivers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms output delay per channel, and real-time load monitoring. Three connectivity options — built-in Wi-Fi AP, existing Wi-Fi, or FAST Ethernet — combined with the LEA CONNECT cloud platform let integrators monitor and control the system from anywhere in the world with no VPN required.</p>","<figure><table><tbody><tr><th><p dir=""auto"">Channels</p></th><td><p dir=""auto"">2</p></td></tr><tr><th><p dir=""auto"">Power per Channel (2Ω)</p></th><td><p dir=""auto"">175W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (4Ω)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (8Ω)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Power per Channel (70V / 100V)</p></th><td><p dir=""auto"">350W</p></td></tr><tr><th><p dir=""auto"">Analog Inputs</p></th><td><p dir=""auto"">2 balanced, selectable 26 dB / 34 dB sensitivity</p></td></tr><tr><th><p dir=""auto"">Network Audio</p></th><td><p dir=""auto"">8 × 8 Dante at 96 kHz or 48 kHz; AES67 via Dante Controller</p></td></tr><tr><th><p dir=""auto"">Network</p></th><td><p dir=""auto"">Built-in Wi-Fi AP, existing Wi-Fi, or FAST Ethernet (Cat5/Cat6)</p></td></tr><tr><th><p dir=""auto"">DSP</p></th><td><p dir=""auto"">Analog Devices Sigma 96kHz, 32-bit core; 8-band parametric EQ/channel; up to 48 dB/oct crossovers; 100 ms delay/channel</p></td></tr><tr><th><p dir=""auto"">Control</p></th><td><p dir=""auto"">LEA CONNECT Cloud, Web Browser UI, 3rd-party API</p></td></tr><tr><th><p dir=""auto"">Dimensions</p></th><td><p dir=""auto"">14.25"" L × 19"" W × 1U (362 × 482 mm)</p></td></tr><tr><th><p dir=""auto"">Weight</p></th><td><p dir=""auto"">10 lbs / 3.4 kg</p></td></tr></tbody></table></figure>",https://framerusercontent.com/images/rLL4nMiSUXitjN37sckb4AQQR0.png,"LEA Professional Connect Series 352D amplifier, front and back views.",lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-352d.pdf
cs354d,true,CS354D,SMART AMP WITH DANTE | 4 CH | 350 WATTS PER CH,"<p>The LEA Professional CS354D is a 4-channel Dante CONNECT Series smart amplifier delivering 350 watts per channel at 4&Omega;, 8&Omega;, 70V, and 100V (175W at 2&Omega;). It adds native Dante audio-over-IP networking on top of the CONNECT Series platform.</p><p>Every channel has onboard DSP with input/output processing, parametric EQ, high- and low-pass crossovers, limiting, and delay. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — are joined by native Dante for audio transport. Power-over-network control, cloud monitoring through the LEA platform, and selectable 70V/100V/low-impedance operation per channel make CS354D straightforward to deploy and manage across zoned commercial audio.</p>","<table><tbody><tr><th>Channels</th><td>4</td></tr><tr><th>Power per Channel (2&Omega;)</th><td>175W</td></tr><tr><th>Power per Channel (4&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (8&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (70V)</th><td>350W</td></tr><tr><th>Power per Channel (100V)</th><td>350W</td></tr><tr><th>Audio Inputs</th><td>Analog balanced + Dante</td></tr><tr><th>Network</th><td>Wi-Fi AP, Wi-Fi, or FAST Ethernet + Dante</td></tr><tr><th>DSP</th><td>Onboard DSP — EQ, crossovers, limiting, delay per channel</td></tr><tr><th>Output Modes</th><td>Low-Z, 70V, 100V selectable per channel</td></tr><tr><th>Cloud</th><td>LEA cloud monitoring & control</td></tr><tr><th>Chassis</th><td>1U rack</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354D_Connect_Series_LEA_Professional_Front_NOSHADOW.png,CS354D — LEA Professional 4-channel 350W smart amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-354d.pdf
cs702d,true,CS702D,"SMART AMP | 2 CHANNELS | 700 WATTS PER CHANNEL
","<p>{""nodes"":[{""type"":""PARAGRAPH"",""id"":""foo"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""The "",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""CONNECT"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""SERIES"",""decorations"":[{""type"":""COLOR"",""colorData"":{""foreground"":""rgb(255, 0, 0)""}},{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":"" 702D is a 2-channel amplifier with 700 watts per channel. As part of the Dante "",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""CONNECT"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""SERIES"",""decorations"":[{""type"":""COLOR"",""colorData"":{""foreground"":""rgb(255, 0, 0)""}},{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":"", the world’s first Internet of Things- (IoT) enabled professional-grade amplifiers, perfectly suited for small to medium-scale installations. The 702D features direct HiZ (70V or 100V) or LoZ selectable by channel. With three ways to connect, you can engage the built-in Wi-Fi access point, connect to the venue’s Wi-Fi, or use the FAST Ethernet to connect to any local area network via Cat5 or Cat6 cable."",""decorations"":[]}}],""paragraphData"":{""textStyle"":{""textAlignment"":""AUTO""},""indentation"":0}},{""paragraphData"":{""textStyle"":{""textAlignment"":""AUTO""}},""style"":{},""id"":""v6c5213574"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Then there’s the Cloud…"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""DANTE"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""&nbsp;"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""CONNECT"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""SERIES"",""decorations"":[{""type"":""COLOR"",""colorData"":{""foreground"":""rgb(255, 0, 0)""}},{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""&nbsp;is the first professional amplifier family to feature Cloud connectivity. Harness the power of the Cloud for remote control, monitoring, notifications, and more from any of your personal devices. Just connect your amp to a network and start commanding your systems.&nbsp; Register for your free LEA Cloud account at&nbsp;"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""leaprofessional.cloud"",""decorations"":[{""type"":""LINK"",""linkData"":{""link"":{""url"":""http://leaprofessional.cloud"",""target"":""SELF""}}},{""type"":""COLOR"",""colorData"":{""background"":""transparent"",""foreground"":""rgb(0, 156, 194)""}},{""type"":""UNDERLINE""}]}}],""type"":""PARAGRAPH""},{""paragraphData"":{""textStyle"":{""textAlignment"":""AUTO""}},""style"":{},""id"":""uv3eo13582"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""The&nbsp;"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""DANTE"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""&nbsp;"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""CONNECT"",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""SERIES"",""decorations"":[{""type"":""COLOR"",""colorData"":{""foreground"":""rgb(255, 0, 0)""}},{""type"":""BOLD"",""fontWeightValue"":700}]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""&nbsp;also features analog inputs and Dante inputs and external I/O control for remote on/off and fault monitoring."",""decorations"":[]}}],""type"":""PARAGRAPH""}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""3bcf8bf6-bcf6-48bd-bab0-2bab7488e621""},""documentStyle"":{}}</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS702D_Connect_Series_LEA_Professional_Front_NOSHADOW.png,,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-702d.pdf
cs704d,true,CS704D,SMART AMP WITH DANTE | 4 CH | 700 WATTS PER CH,"<p>The LEA Professional CS704D is a 4-channel Dante CONNECT Series smart amplifier delivering 700 watts per channel at 4&Omega;, 8&Omega;, 70V, and 100V (350W at 2&Omega;). It adds native Dante audio-over-IP networking on top of the CONNECT Series platform.</p><p>Every channel has onboard DSP with input/output processing, parametric EQ, high- and low-pass crossovers, limiting, and delay. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — are joined by native Dante for audio transport. Power-over-network control, cloud monitoring through the LEA platform, and selectable 70V/100V/low-impedance operation per channel make CS704D straightforward to deploy and manage across zoned commercial audio.</p>","<table><tbody><tr><th>Channels</th><td>4</td></tr><tr><th>Power per Channel (2&Omega;)</th><td>350W</td></tr><tr><th>Power per Channel (4&Omega;)</th><td>700W</td></tr><tr><th>Power per Channel (8&Omega;)</th><td>700W</td></tr><tr><th>Power per Channel (70V)</th><td>700W</td></tr><tr><th>Power per Channel (100V)</th><td>700W</td></tr><tr><th>Audio Inputs</th><td>Analog balanced + Dante</td></tr><tr><th>Network</th><td>Wi-Fi AP, Wi-Fi, or FAST Ethernet + Dante</td></tr><tr><th>DSP</th><td>Onboard DSP — EQ, crossovers, limiting, delay per channel</td></tr><tr><th>Output Modes</th><td>Low-Z, 70V, 100V selectable per channel</td></tr><tr><th>Cloud</th><td>LEA cloud monitoring & control</td></tr><tr><th>Chassis</th><td>1U rack</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_Front_NOSHADOW.png,CS704D — LEA Professional 4-channel 700W smart amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-704d.pdf
cs1504d,true,CS1504D,SMART AMP WITH DANTE | 4 CH | 1500 WATTS PER CH,"<p>The LEA Professional CS1504D is a 4-channel Dante CONNECT Series smart amplifier delivering 1500 watts per channel at 4&Omega;, 8&Omega;, 70V, and 100V (1500W at 2&Omega;). It adds native Dante audio-over-IP networking on top of the CONNECT Series platform.</p><p>Every channel has onboard DSP with input/output processing, parametric EQ, high- and low-pass crossovers, limiting, and delay. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — are joined by native Dante for audio transport. Power-over-network control, cloud monitoring through the LEA platform, and selectable 70V/100V/low-impedance operation per channel make CS1504D straightforward to deploy and manage across zoned commercial audio.</p>","<table><tbody><tr><th>Channels</th><td>4</td></tr><tr><th>Power per Channel (2&Omega;)</th><td>1500W</td></tr><tr><th>Power per Channel (4&Omega;)</th><td>1500W</td></tr><tr><th>Power per Channel (8&Omega;)</th><td>1500W</td></tr><tr><th>Power per Channel (70V)</th><td>1500W</td></tr><tr><th>Power per Channel (100V)</th><td>1500W</td></tr><tr><th>Audio Inputs</th><td>Analog balanced + Dante</td></tr><tr><th>Network</th><td>Wi-Fi AP, Wi-Fi, or FAST Ethernet + Dante</td></tr><tr><th>DSP</th><td>Onboard DSP — EQ, crossovers, limiting, delay per channel</td></tr><tr><th>Output Modes</th><td>Low-Z, 70V, 100V selectable per channel</td></tr><tr><th>Cloud</th><td>LEA cloud monitoring & control</td></tr><tr><th>Chassis</th><td>1U rack</td></tr></tbody></table>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/1504-front.png,CS1504D — LEA Professional 4-channel 1500W smart amplifier,lea,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_datasheets/spec-sheet-1504d.pdf
