Slug,Product Description,Gallery
cs1504,"<p dir=""auto"">The LEA Professional CS1504 is a 4-channel high-power smart amplifier delivering 1,500 watts per channel at 2Ω, 4Ω, 8Ω, 70V, and 100V, making it ideal for large-scale fixed installations that demand uncompromising headroom. As part of the Network CONNECT Series, it offers three ways to connect: a built-in Wi-Fi access point, an existing Wi-Fi network, or a Local Area Network via FAST Ethernet, eliminating the need to download proprietary software.</p><p dir=""auto"">The on-board Analog Devices Sharc 96kHz DSP with a 32-bit core provides linear-phase FIR crossovers, up to 4 seconds of delay per channel, 16-band parametric EQ per channel, and real-time load monitoring. Through the LEA CONNECT cloud platform and web-browser UI, integrators can configure, monitor, and troubleshoot from anywhere in the world — no VPN required — while third-party API support enables seamless integration with Crestron, AMX, Q-SYS, and other control systems.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/1504-front.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/Front-_-Back_1504D.png"
cds354,"<p dir=""auto"">The LEA Professional CDS354 is a 4-channel Cinema Digital Series smart amplifier purpose-built for cinema and immersive surround installations, delivering 350 watts per channel at 2Ω, 4Ω, 8Ω, 25V, 70V, and 100V. It combines AES67 audio-over-IP networking with the convenience of the LEA CONNECT cloud platform, giving cinema integrators remote monitoring, fault notifications, and control from any browser or device without VPN setup.</p><p dir=""auto"">An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core provides 8-band parametric EQ per channel, crossover filters up to 48 dB/octave, 100 ms of output delay per channel, and real-time load monitoring. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — let it integrate into any cinema network, while external I/O supports remote on/off and fault sensing.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354D_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354D_Connect_Series_LEA_Professional_FrontBack_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354D_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
cs64d,"<p dir=""auto"">The LEA Professional CS64D is a 4-channel half-rack Dante CONNECT Series smart amplifier delivering 60 watts per channel at 4Ω, 8Ω, 25V, 70V, and 100V, plus 30W at 2Ω. Its compact half-rack chassis makes it ideal for low-profile installations such as huddle rooms, retail, restaurants, and distributed background music systems where Dante audio networking and remote cloud management are required.</p><p dir=""auto"">The unit accepts 4 balanced analog and 4 unbalanced RCA inputs alongside 4 × 4 Dante at 48 kHz (with AES67 support via Dante Controller). An Analog Devices Sigma 96kHz DSP with a 32-bit core offers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, and 100 ms output delay per channel. Through the LEA CONNECT cloud platform, web browser UI, or third-party APIs, integrators can deploy, monitor, and service the system from anywhere without VPN.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/Half-Rack-Front.png
cs124,"<p dir=""auto"">The LEA Professional CS124 is a 4-channel half-rack Network CONNECT Series smart amplifier delivering 120 watts per channel at 4Ω, 8Ω, 25V, 70V, and 100V (60W at 2Ω). Its compact half-rack form factor makes it ideal for low-profile fixed-install applications such as retail, restaurants, conference rooms, and distributed background music where remote cloud management is required.</p><p dir=""auto"">Inputs include 4 balanced XLR and 4 unbalanced RCA on shared channels with selectable mic/line sensitivity. An Analog Devices Sigma 96kHz DSP with a 32-bit core provides 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms output delay per channel, and real-time load monitoring. The amplifier connects via built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet, and is configured and monitored through the LEA CONNECT cloud platform, browser-based WebUI, SharkWare, or third-party APIs — no proprietary software downloads required.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/Half-Rack-Front.png
cs352d,"<p dir=""auto"">The LEA Professional CS352D is a 2-channel Dante CONNECT Series smart amplifier delivering 350 watts per channel at 4Ω, 8Ω, 70V, and 100V (175W at 2Ω). It is purpose-built for small to mid-scale commercial installations where Dante audio networking, cloud-based control, and selectable HiZ/LoZ outputs per channel are required.</p><p dir=""auto"">The amplifier provides 2 balanced analog inputs with selectable 26/34 dB sensitivity plus 8 × 8 Dante at 96/48 kHz (AES67 configurable via Dante Controller). An Analog Devices Sigma 96kHz DSP with a 32-bit core delivers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms output delay per channel, and real-time load monitoring. Three connectivity options — built-in Wi-Fi AP, existing Wi-Fi, or FAST Ethernet — combined with the LEA CONNECT cloud platform let integrators monitor and control the system from anywhere in the world with no VPN required.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS352D_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS352D_Connect_Series_LEA_Professional_FrontBack_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS352D_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
cs704,"<p dir=""auto"">The LEA Professional CS704 is a 4-channel Network CONNECT Series smart amplifier delivering 700 watts per channel at 4Ω, 8Ω, 70V, and 100V (350W at 2Ω). With selectable HiZ/LoZ per channel and a compact 1U chassis, it is ideal for medium to large commercial installations such as houses of worship, hospitality, education, and corporate AV.</p><p dir=""auto"">The unit provides three ways to connect — built-in Wi-Fi access point, existing Wi-Fi network, or Local Area Network via FAST Ethernet — eliminating the need for proprietary software. An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core delivers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms of output delay per channel, and real-time load monitoring. Through the LEA CONNECT cloud platform and browser-based WebUI, integrators can configure, monitor, and troubleshoot the amplifier from anywhere in the world with no VPN required.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704_Connect_Series_LEA_Professional_FrontBack_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
cs1504-g,"<p dir=""auto"">The LEA Professional CS1504-G is a 4-channel high-power Government-model smart amplifier delivering 1,500 watts per channel at 2Ω, 4Ω, 8Ω, 70V, and 100V. As part of the CONNECT Series ""G"" line, all wireless capabilities are removed: connections are made strictly over wired LAN (Ethernet), satisfying secure federal, military, and government installation requirements while retaining the full feature set of the standard 1504.</p><p dir=""auto"">An on-board Analog Devices Sharc 96kHz DSP with a 32-bit core provides linear-phase FIR crossovers, up to 4 seconds of delay per channel, 8-band parametric EQ per channel, and real-time load monitoring. The amplifier is configured and monitored through the LEA CONNECT cloud platform (where network policy permits), browser-based WebUI, or third-party APIs for Crestron, AMX, Q-SYS, and similar control systems.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/1504-front.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/Front-_-Back_1504D.png"
cs704d-g,"<p dir=""auto"">The LEA Professional CS704D-G is a 4-channel Dante-enabled Government-model smart amplifier delivering 700 watts per channel at 4Ω, 8Ω, 70V, and 100V (350W at 2Ω). As part of the CONNECT Series ""G"" line, all wireless capabilities are removed: connections are made strictly over wired LAN (Ethernet), making it suitable for secure federal, military, and government installations that still require Dante audio networking.</p><p dir=""auto"">The amplifier provides 4 balanced analog inputs with selectable 26/34 dB sensitivity plus 8 × 8 Dante at 96/48 kHz (AES67 configurable via Dante Controller) and external I/O for remote on/off and fault monitoring. An Analog Devices Sigma 96kHz DSP with a 32-bit core delivers 8-band parametric EQ per channel, crossovers up to 48 dB/octave, and real-time load monitoring. Through the LEA CONNECT cloud platform (where network policy permits), browser-based WebUI, or third-party APIs, integrators retain full remote configuration and monitoring.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_FrontBack_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
cds704,"<p dir=""auto"">The LEA Professional CDS704 is a 4-channel Cinema Digital Series smart amplifier delivering 700 watts per channel at 2Ω, 4Ω, 8Ω, 25V, 70V, and 100V. Engineered for cinema and immersive surround installations, it combines AES67 audio-over-IP networking with the LEA CONNECT cloud platform, giving cinema operators remote monitoring, fault alerts, and configuration from any browser without VPN.</p><p dir=""auto"">The amplifier accepts 4 balanced analog inputs with selectable 26/34 dB sensitivity plus 8 × 8 AES67 at 96/48 kHz, multicast or unicast. An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core provides 8-band parametric EQ per channel, crossovers up to 48 dB/octave, 100 ms of output delay per channel, and real-time load monitoring. Three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or FAST Ethernet — plus external I/O for remote on/off and fault sensing make it easy to integrate into existing cinema networks.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_FrontBack_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS704D_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
cs354,"<p dir=""auto"">The LEA Professional CS354 is a 4-channel Network CONNECT Series smart amplifier delivering 350 watts per channel at 4Ω, 8Ω, 70V, and 100V (175W at 2Ω). With selectable HiZ/LoZ on a per-channel basis and a compact 1U chassis, it is well suited to small and medium commercial installations such as houses of worship, hospitality, education, and corporate AV.</p><p dir=""auto"">The amplifier provides three ways to connect — built-in Wi-Fi access point, existing Wi-Fi, or Local Area Network via FAST Ethernet — with no proprietary software required. An on-board Analog Devices Sigma 96kHz DSP with a 32-bit core supports 8-band parametric EQ per channel, crossovers up to 48 dB/octave, and real-time load monitoring. Through the LEA CONNECT cloud platform and browser-based WebUI, integrators can configure, monitor, and troubleshoot from anywhere in the world with no VPN required.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354_Connect_Series_LEA_Professional_Back_NOSHADOW.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/_renders/CS354_Connect_Series_LEA_Professional_Front_NOSHADOW.png"
