Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
seismix-1-evara,true,Seismix 1 Evara,"Compact, stylish subwoofer from the Evara range","<p>Part of Krix&#x27;s contemporary Evara line, the Seismix 1 Evara is a compact down-firing active subwoofer that delivers deep bass without dominating a room, suited to apartments and smaller living spaces. It blends Krix acoustic engineering with a modern matte finish in multiple colourways.</p><ul><li><p>Down-firing active subwoofer with compact footprint</p></li><li><p>Auto-sensing power, phase and filter adjustment, stereo RCA inputs</p></li><li><p>Matte finishes; Australian Made</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>8-inch down-firing, 1.5-inch voice coil, vented magnet</td></tr><tr><td>Amplifier</td><td>350 Watts RMS, 700 Watts maximum instantaneous</td></tr><tr><td>In-room response</td><td>25Hz - 200Hz</td></tr><tr><td>Output</td><td>Up to 116dB</td></tr></tbody></table></figure>",,Seismix 1 Evara,krix,audio,subwoofer,
equinox-evara,true,Equinox Evara,"Big sound, small footprint - contemporary-finish Equinox","<p>The Equinox Evara is a redesigned, contemporary-finish edition of the Equinox bookshelf with modern cabinet finishes and precision magnetic grilles. Krix states it delivers the same acoustic performance as the Equinox Mk5.</p><ul><li><p>Contemporary-finish edition of the Equinox bookshelf</p></li><li><p>130mm bass/midrange and 26mm dual-concentric tweeter</p></li><li><p>Performance matches the Equinox Mk5</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>130mm bass/midrange + 26mm dual-concentric tweeter</td></tr><tr><td>Frequency response</td><td>45Hz - 40kHz</td></tr><tr><td>Sensitivity</td><td>88dB</td></tr></tbody></table></figure>,,Equinox Evara,krix,audio,speaker,
mx-20-mk2,true,MX-20 Mk2,Next-gen 2-way modular behind-screen system,<p>The MX-20 Mk2 is an upgraded modular front-wall cinema system that flush-mounts into a false wall behind an acoustically transparent screen. All modules are upgraded over the original MX-20 with a larger bass driver and constant-directivity horn. Pairs with the Cyclonix 15 supporting subwoofer.</p><ul><li><p>Upgraded modular behind-screen LCR system</p></li><li><p>New 12-inch LF driver with 2.5-inch voice coil</p></li><li><p>Patented constant-directivity horn with 1-inch compression driver</p></li></ul>,<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>LF driver</td><td>12-inch (2.5-inch voice coil)</td></tr><tr><td>HF</td><td>Patented constant-directivity horn with 1-inch compression driver</td></tr><tr><td>LCR power handling</td><td>700 Watts RMS</td></tr><tr><td>Supporting subwoofer</td><td>Pairs with Cyclonix 15</td></tr></tbody></table></figure>,,MX-20 Mk2,krix,"cinema,audio","cinema,speaker",
mx-30i,true,MX-30i,MX-30 modular system with new 18-inch infrasonic subwoofer modules,"<p>The MX-30i is the award-winning MX-30 modular behind-screen system updated with new high-performance 18-inch infrasonic subwoofer modules for true infrasonic reproduction. Five same-height, slim-depth modules install in a single wall cavity behind an acoustically transparent screen, for medium-to-large dedicated cinemas.</p><ul><li><p>Five same-height modules for single-cavity behind-screen install</p></li><li><p>Mains with 380mm high-stiffness paper-cone mid-bass and constant-directivity horn</p></li><li><p>New high-performance 18-inch infrasonic subwoofer modules (reversible dual-terminal)</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Main LF</td><td>380mm high-stiffness paper cone, 75mm voice coil, vented magnet</td></tr><tr><td>Main HF</td><td>Krix patented 90x40 short-throw horn with HF compression driver</td></tr><tr><td>Subwoofer</td><td>New high-performance 18-inch infrasonic modules (reversible)</td></tr></tbody></table></figure>",,MX-30i,krix,"cinema,audio","cinema,speaker",
mx-40i,true,MX-40i,Flagship 3-way modular system with 18-inch infrasonic subwoofer modules,"<p>The MX-40i is Krix&#x27;s flagship modular behind-screen cinema system, combining a patented constant-directivity horn with newly engineered high-output 18-inch subwoofer modules for infrasonic reproduction. Five same-height, slim-line modules install in a single cavity for medium-to-large private cinemas.</p><ul><li><p>Flagship 3-way modular behind-screen system</p></li><li><p>New high-performance 18-inch LF infrasonic driver</p></li><li><p>Reversible dual-terminal subwoofer cabinet</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Subwoofer frequency range</td><td>10Hz - 200Hz (with DSP); 15Hz -3dB, 13Hz -6dB (with DSP)</td></tr><tr><td>Subwoofer driver</td><td>New high-performance 18-inch LF driver</td></tr><tr><td>Configuration</td><td>3-way modular LCR + subwoofer modules</td></tr></tbody></table></figure>",,MX-40i,krix,"cinema,audio","cinema,speaker",
mxi-118,true,MXi-118,Single-18-inch infrasonic subwoofer module for MX-30i / MX-40i,"<p>The MXi-118 is a single 18-inch infra-bass module that integrates into MX-30i and MX-40i modular cinema systems to add low-frequency power and deeper extension, or installs independently (including on a rear wall). Dual-terminal reversible cabinets allow vertical or horizontal placement, matching the height and slim depth of the MX LCR modules. Requires an approved amplifier with DSP.</p><ul><li><p>Single 18-inch infra-bass module for MX-30i/MX-40i or standalone use</p></li><li><p>Reversible dual-terminal cabinet for flexible orientation</p></li><li><p>Requires an approved amplifier with DSP</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>10Hz - 200Hz (with DSP); 15Hz -3dB, 13Hz -6dB (with DSP)</td></tr><tr><td>Driver</td><td>460mm (18-inch) treated paper cone, 100mm (4-inch) voice coil, neodymium magnet, demodulating ring</td></tr><tr><td>Recommended amplifier power</td><td>1500-3000 Watts RMS</td></tr><tr><td>Impedance</td><td>4 Ohms</td></tr><tr><td>Sensitivity</td><td>100dB (80Hz, 2.83V at 1m, half space)</td></tr><tr><td>Dimensions</td><td>1220mm H x 750mm W x 335mm D</td></tr></tbody></table></figure>",,MXi-118,krix,"cinema,audio","cinema,subwoofer",
ucx-218,true,UCX-218,Flagship dual-18-inch passive infrasonic subwoofer,"<p>The UCX-218 is Krix&#x27;s most powerful subwoofer, with dual 18-inch high-excursion drivers in a dual-opposing configuration that counteracts mechanical vibration. It brings commercial-cinema low-frequency performance into residential spaces with enormous headroom, reaching true infrasonic levels. Made in Australia and delivered in three modules.</p><ul><li><p>Dual 18-inch high-excursion drivers in a dual-opposing configuration</p></li><li><p>Reaches true infrasonic levels with commercial-cinema headroom</p></li><li><p>Positionable horizontally or vertically; delivered in three modules</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency response</td><td>10Hz - 200Hz (with DSP); 15Hz -3dB, 13Hz -6dB (with DSP)</td></tr><tr><td>Drivers</td><td>Dual 18-inch high-excursion, 100mm voice coil, neodymium magnet, demodulating ring</td></tr><tr><td>Power handling</td><td>2 x 1250W continuous, 2 x 2500W program, 2 x 5000W peak</td></tr><tr><td>Recommended amplifier</td><td>2 x 1500-3000W into 4 Ohms</td></tr><tr><td>Weight</td><td>91kg</td></tr></tbody></table></figure>",,UCX-218,krix,audio,subwoofer,
as-315,true,AS-315,315mm absorption / bass-trap spacer for MX-5 and MX-10,"<p>The AS-315 is a modular acoustic absorption spacer module sized for MX-5 and MX-10 systems. Positioned between the main speakers and subwoofers, it absorbs reflections and acts as a bass trap to recreate Krix&#x27;s infinite-baffle wall. Supplied in pairs for symmetry.</p><ul><li><p>Acoustic absorption / bass-trap spacer module</p></li><li><p>Sized for MX-5 and MX-10 systems</p></li><li><p>Supplied in pairs</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Width</td><td>315mm (same height and depth as the MX-10 modules)</td></tr><tr><td>Compatibility</td><td>MX-5 and MX-10 systems</td></tr></tbody></table></figure>,,AS-315,krix,audio,accessory,
banana-plugs,true,Banana Plugs,Gold-plated screw-clamp banana connectors,<p>High-quality gold-plated banana connectors with two clamping screws for a secure connection to speaker terminals.</p><ul><li><p>Gold-plated for low-resistance connections</p></li><li><p>Two clamping screws per plug</p></li><li><p>Suits 18 AWG to 10 AWG wire (conductors up to approximately 3mm)</p></li></ul>,<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Plating</td><td>Gold</td></tr><tr><td>Termination</td><td>Two clamping screws</td></tr><tr><td>Wire size</td><td>18 AWG - 10 AWG (up to approximately 3mm conductor)</td></tr></tbody></table></figure>,,Banana Plugs,krix,audio,accessory,
kx-4010,true,KX-4010,Single-18-inch passive cinema subwoofer for behind-screen placement,"<p>The KX-4010 is a passive high-performance commercial-cinema subwoofer with a single 18-inch driver. Its enclosure depth matches Krix screen systems to aid behind-screen positioning, and it is designed for maximum SPL down to 28Hz while reducing cone excursion in the pass band. Measured per AES2-2012 and Dolby Atmos calculator compatible.</p><ul><li><p>Single 18-inch passive cinema subwoofer</p></li><li><p>Depth matches Krix screen systems for behind-screen placement</p></li><li><p>AES2-2012 measured, Dolby Atmos calculator compatible</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>25Hz - 200Hz</td></tr><tr><td>Sensitivity</td><td>100dB (2.83V at 1m, half space)</td></tr><tr><td>Input power</td><td>700 Watts (AES continuous)</td></tr><tr><td>Impedance</td><td>8 Ohms</td></tr></tbody></table></figure>",,KX-4010,krix,"cinema,audio","cinema,subwoofer",https://cdn.prod.website-files.com/63e33686b480b80aa505edc2/6525e9aef54e751c3af50f37_KX-4010%20Cinema%20Specification%20Sheet-005.pdf
