"Slug",":draft","Title","Sub Title","Product Description","Technical Table","Thumbnail","Thumbnail:alt","Brand","Product Categories","Product Tags","Specsheet"
"c6se","false","c6SE","c6SE Power and performance","<h3 dir=""auto"">High-end in the corner</h3><p dir=""auto"">The C6SE brings High-End sound to the on-wall segment. With the Danish made woofer featuring a strong cast chassis, control at high levels is unexceeled. The motor system of the woofer features alu rings in the magnet system for improved clarity and efficient ventilation of the magnet further adds to the very open and effortless sound reproduction.&nbsp;</p><p dir=""auto"">The 1” silk dome tweeter reflects more than 70 years of Danish acoustic know-how. Every tiny detail is reproduced with great ease and listening fatigue is non existent.</p><p dir=""auto"">In combination with a subwoofer, C6SE will provide a very large sound stage with impressive sound quality.&nbsp;</p>","<h3 dir=""auto"">Features</h3><figure><table><tbody><tr><th><p dir=""auto"">Feature</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Woofer</p></td><td><p dir=""auto"">6½″ woofer with cast chassis</p></td></tr><tr><td><p dir=""auto"">Tweeter</p></td><td><p dir=""auto"">1″ silk dome tweeter</p></td></tr><tr><td><p dir=""auto"">Cabinet</p></td><td><p dir=""auto"">Aluminium cabinet with MDF baffle</p></td></tr><tr><td><p dir=""auto"">Application</p></td><td><p dir=""auto"">Top-box with high sensitivity</p></td></tr><tr><td><p dir=""auto"">Available colors</p></td><td><p dir=""auto"">Black, white or aluminium</p></td></tr></tbody></table></figure><h3 dir=""auto"">Specifications</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Power handling / IEC268</p></td><td><p dir=""auto"">125W</p></td></tr><tr><td><p dir=""auto"">Power handling / Peak</p></td><td><p dir=""auto"">500W</p></td></tr><tr><td><p dir=""auto"">Sensitivity / 2.83V @ 1m</p></td><td><p dir=""auto"">90dB</p></td></tr><tr><td><p dir=""auto"">Maximum SPL / Long term</p></td><td><p dir=""auto"">111dB</p></td></tr><tr><td><p dir=""auto"">Maximum SPL / Peak</p></td><td><p dir=""auto"">117dB</p></td></tr><tr><td><p dir=""auto"">Frequency response</p></td><td><p dir=""auto"">56Hz–25,000Hz</p></td></tr><tr><td><p dir=""auto"">Nominal impedance</p></td><td><p dir=""auto"">8 Ohms</p></td></tr><tr><td><p dir=""auto"">Weight</p></td><td><p dir=""auto"">6kg / 15.2 lbs</p></td></tr><tr><td><p dir=""auto"">Dimensions / H × W × D</p></td><td><p dir=""auto"">502 × 232 × 167mm</p></td></tr><tr><td><p dir=""auto"">Dimensions / imperial</p></td><td><p dir=""auto"">19.8″ × 9.1″ × 6.6″</p></td></tr></tbody></table></figure>","https://framerusercontent.com/images/S3YHzeJNqMfyWeEcfj6U9nmWg.png","","cornered-audio","audio","speaker","https://framerusercontent.com/assets/iMNKjjdRGVjXtoL1yT0kjcTt4Qk.pdf"
"c5se","false","C5SE","C5SE The Special Edition","<h3 dir=""auto"">High-End in the Corner</h3><p dir=""auto"">C5SE caters for the diserning audiophile. Featuring a Danish made woofer with a strong cast chassis and a very powerful magnet system, the SE version exceels in delivering a three dimensional sound stage with exceptional detail and authority.&nbsp;It is as capable as a 2-channel speaker as it is in a Home Theatre set up. With the SE, you will be surrounded by immersive sound</p><p dir=""auto"">&nbsp;The passive woofer extends bass to below 50 Hz and the 1″ tweeter features a silk dome with impressive detail and clarity.&nbsp;&nbsp;</p><p dir=""auto"">C5SE will entertain you for hours without listening fatigue and is a great main speaker or the perfect surround speaker for the C6SE.&nbsp;&nbsp;</p>","<h3 dir=""auto"">Features</h3><figure><table><tbody><tr><th><p dir=""auto"">Feature</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Woofer</p></td><td><p dir=""auto"">5¼″ woofer with cast chassis</p></td></tr><tr><td><p dir=""auto"">Passive woofer</p></td><td><p dir=""auto"">5¼″ passive woofer</p></td></tr><tr><td><p dir=""auto"">Tweeter</p></td><td><p dir=""auto"">1″ silk dome tweeter</p></td></tr><tr><td><p dir=""auto"">Cabinet</p></td><td><p dir=""auto"">Aluminium cabinet</p></td></tr><tr><td><p dir=""auto"">Room coverage</p></td><td><p dir=""auto"">For rooms up to 80 sqm</p></td></tr><tr><td><p dir=""auto"">Available colors</p></td><td><p dir=""auto"">Black, white or brushed aluminium</p></td></tr></tbody></table></figure><h3 dir=""auto"">Specifications</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Power handling / IEC268</p></td><td><p dir=""auto"">125W</p></td></tr><tr><td><p dir=""auto"">Power handling / Peak</p></td><td><p dir=""auto"">500W</p></td></tr><tr><td><p dir=""auto"">Sensitivity / 2.83V @ 1m</p></td><td><p dir=""auto"">89dB</p></td></tr><tr><td><p dir=""auto"">Maximum SPL / Long term</p></td><td><p dir=""auto"">110dB</p></td></tr><tr><td><p dir=""auto"">Maximum SPL / Peak</p></td><td><p dir=""auto"">116dB</p></td></tr><tr><td><p dir=""auto"">Frequency response</p></td><td><p dir=""auto"">56Hz–25,000Hz</p></td></tr><tr><td><p dir=""auto"">Nominal impedance</p></td><td><p dir=""auto"">8 Ohms</p></td></tr><tr><td><p dir=""auto"">Weight</p></td><td><p dir=""auto"">4.6kg / 11.7 lbs</p></td></tr><tr><td><p dir=""auto"">Dimensions / H × W × D</p></td><td><p dir=""auto"">441 × 213 × 154mm</p></td></tr><tr><td><p dir=""auto"">Dimensions / imperial</p></td><td><p dir=""auto"">17.4″ × 8.4″ × 6.1″</p></td></tr></tbody></table></figure>","https://framerusercontent.com/images/vxpkJlnk7wQBpJGIR9JANE7pvc.png","","cornered-audio","audio","speaker","https://framerusercontent.com/assets/SrhXIPdhycp9hjv6tjEzKjGnY.pdf"
"ft600ksip-copy","false","FT600","Doorphone entry outdoor post
without camera, with keypad","<h3 dir=""auto"">Description</h3><p dir=""auto"">FT600 | The FT600 is an intercom with 2 sip accounts, black anodized and has 1 push button. The supplied housing allows the device to be placed both on- and flush-mounted. 216x116mm.</p>","<figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Detail</p></th></tr><tr><td><p dir=""auto"">Model</p></td><td><p dir=""auto"">FT600KSIP (Doorphone Entry IP)</p></td></tr><tr><td><p dir=""auto"">Configuration</p></td><td><p dir=""auto"">1 push button, with keypad, no camera</p></td></tr><tr><td><p dir=""auto"">Frame</p></td><td><p dir=""auto"">Black anodised brushed aluminium with tempered glass front</p></td></tr><tr><td><p dir=""auto"">Total dimensions</p></td><td><p dir=""auto"">216 x 116 x 33 mm (H x W x D), surface mount</p></td></tr><tr><td><p dir=""auto"">Flush-mount recess</p></td><td><p dir=""auto"">212 x 112 x 30 mm (H x W x D)</p></td></tr><tr><td><p dir=""auto"">Mounting</p></td><td><p dir=""auto"">Surface or flush using a single FT600BUS frame</p></td></tr><tr><td><p dir=""auto"">Audio</p></td><td><p dir=""auto"">Powerful loudspeaker (multi-step volume); microphone volume independent</p></td></tr><tr><td><p dir=""auto"">Keypad relays</p></td><td><p dir=""auto"">2 internal relays controllable from the keypad</p></td></tr><tr><td><p dir=""auto"">Network/SIP</p></td><td><p dir=""auto"">IP intercom, SIP-compliant, 2 simultaneous SIP accounts; PCMU/PCMA/G.711/G.722/G.729 codecs; RTSP/ONVIF/MJPEG</p></td></tr><tr><td><p dir=""auto"">Other interfaces</p></td><td><p dir=""auto"">RS485, Wiegand output, tamper alarm</p></td></tr><tr><td><p dir=""auto"">Power</p></td><td><p dir=""auto"">PoE (Power over Ethernet)</p></td></tr><tr><td><p dir=""auto"">Environmental</p></td><td><p dir=""auto"">IP65 weather rating</p></td></tr><tr><td><p dir=""auto"">Anti-vandal</p></td><td><p dir=""auto"">4 anti-vandal screws</p></td></tr><tr><td><p dir=""auto"">Optional add-ons</p></td><td><p dir=""auto"">140 deg HD camera (FT600KSIPVC variant), FT600W 7-inch monitor, FT600VK kits</p></td></tr></tbody></table></figure>","https://framerusercontent.com/images/edDKOIB4EXEwRjhI0ApHLvsAcM.jpg","Fasttel intercom with keypad and bell icon","fasttel","control-system","door-phone","https://framerusercontent.com/assets/8XlrSGCP0cNIO1do5kgfkUk8tBY.pdf"
"ip-aud-usbc-dnt-10","false","IP-AUD-USBC-DNT-10","Connect any computer to a Dante network with zero software installation","<p dir=""auto"">USB-C Adapter lets you connect any computer to a Dante network with zero software installation</p><ul dir=""auto""><li data-preset-tag=""p""><p>Can be used with any audio application for playout or recording.&nbsp;</p></li><li data-preset-tag=""p""><p>Fully compatible with Dante and AES67 audio networking standards</p></li><li data-preset-tag=""p""><p>Provides USB-C connectivity for direct integration with laptops and smart devices</p></li><li data-preset-tag=""p""><p>Delivers high-quality audio up to 24-bit / 96kHz on Dante and up to 192kHz on USB output</p></li><li data-preset-tag=""p""><p>Supports USB Audio Class 1.0 and 2.0 for broad device compatibility</p></li><li data-preset-tag=""p""><p>Powered via PoE or USB-C for flexible installation options</p></li><li data-preset-tag=""p""><p>Compact adapter design enables simple and discreet deployment</p></li><li data-preset-tag=""p""><p>Transmits audio reliably up to 100m over standard CAT6 cabling</p></li><li data-preset-tag=""p""><p>Low power consumption supports efficient system scalability</p></li><li data-preset-tag=""p""><p>Quick and intuitive setup using Dante Controller software</p></li></ul>","","https://framerusercontent.com/images/K39DU5pj9WGq96mlkHFyfG9dGX0.png","Dante 2CH USB-C I/O Adapter with PoE","netvio","audio","cabling,converter",""
"ip-aud-xlr-dnt-10","false","IP-AUD-XLR-DNT-10","Drive analog line-level products you already own from any Dante-connected system","<ul dir=""auto""><li data-preset-tag=""p""><p>Don’t abandon trusted mixing consoles, wireless mics and other analog sources</p></li><li data-preset-tag=""p""><p>Adapt them to the world of pro AV networking with Dante</p></li><li data-preset-tag=""p""><p>Converts 2-channel XLR analog audio into Dante network audio streams with ease</p></li><li data-preset-tag=""p""><p>Fully compatible with Dante and AES67 audio networking standards</p></li><li data-preset-tag=""p""><p>Provides balanced XLR inputs for direct connection to professional audio sources</p></li><li data-preset-tag=""p""><p>Delivers high-quality audio up to 24-bit / 96kHz resolution</p></li><li data-preset-tag=""p""><p>Features 5-level input sensitivity adjustment for precise signal matching</p></li><li data-preset-tag=""p""><p>Powered via PoE or USB-C for flexible installation options</p></li><li data-preset-tag=""p""><p>Compact adapter design enables simple and discreet deployment</p></li><li data-preset-tag=""p""><p>Transmits audio reliably up to 100m over standard CAT6 cabling</p></li><li data-preset-tag=""p""><p>Low power consumption supports efficient system scalability</p></li><li data-preset-tag=""p""><p>Quick and intuitive setup using Dante Controller software</p></li></ul>","","https://framerusercontent.com/images/8miYsO6qYlF9NZKSFF5J7NHXzQ.png","Dante 2CH XLR Output Adapter with cables","netvio","audio","cabling,converter",""
"ip-aud-dnt-xlr-10","false","IP-AUD-DNT-XLR-10","Use analog audio line-level source gear you already own to feed any Dante-connected system","<ul dir=""auto""><li data-preset-tag=""p""><p>Don’t abandon trusted mixing consoles, wireless mics and other analog sources</p></li><li data-preset-tag=""p""><p>Adapt them to the world of pro AV networking with Dante</p></li><li data-preset-tag=""p""><p>Converts Dante network audio into 2-channel XLR analog audio outputs with ease</p></li><li data-preset-tag=""p""><p>Fully compatible with Dante and AES67 audio networking standards</p></li><li data-preset-tag=""p""><p>Provides balanced XLR outputs for direct connection to professional audio equipment</p></li><li data-preset-tag=""p""><p>Delivers high-quality audio up to 24-bit / 96kHz resolution</p></li><li data-preset-tag=""p""><p>Features 5-level output gain adjustment for precise signal control</p></li><li data-preset-tag=""p""><p>Powered via PoE or USB-C for flexible installation options</p></li><li data-preset-tag=""p""><p>Compact adapter design enables simple and discreet deployment</p></li><li data-preset-tag=""p""><p>Receives audio reliably up to 100m over standard CAT6 cabling</p></li><li data-preset-tag=""p""><p>Low power consumption supports efficient system scalability</p></li><li data-preset-tag=""p""><p>Quick and intuitive setup using Dante Controller software</p></li></ul>","","https://framerusercontent.com/images/VZ5QlHuCdIlkveusJ7FFap6s4U.png","Dante 2CH XLR Input Adapter with two XLR connectors","netvio","audio","cabling,converter",""
"ip-aud-dnt-2ch-10","false","IP-AUD-DNT-2CH-10","Deliver 2 channels of Dante to line-level Pro AV analog audio devices","<p dir=""auto"">Converts Dante network audio into 2-channel analog audio outputs with ease</p><ul dir=""auto""><li data-preset-tag=""p""><p>Fully compatible with Dante and AES67 audio networking standards</p></li><li data-preset-tag=""p""><p>Supports both balanced and unbalanced audio output connections</p></li><li data-preset-tag=""p""><p>Delivers high-quality audio up to 24-bit / 96kHz resolution</p></li><li data-preset-tag=""p""><p>Features 3-level output gain control for flexible system integration</p></li><li data-preset-tag=""p""><p>Powered via PoE for simple, single-cable installation</p></li><li data-preset-tag=""p""><p>Compact design allows discreet and flexible system integration</p></li><li data-preset-tag=""p""><p>Receives audio reliably up to 100m over standard CAT6 cabling</p></li><li data-preset-tag=""p""><p>Low power consumption ensures efficient, scalable deployments</p></li><li data-preset-tag=""p""><p>Quick and intuitive setup using Dante Controller software</p></li></ul>","","https://framerusercontent.com/images/d2AIedNI0NPqwrdhNQbMIIMMTY.png","Dante audio decoder with Ethernet port","netvio","audio","decoder,converter",""
"ip-aud-2ch-dnt-10","false","IP-AUD-2CH-DNT-10","Convert 2 channels of line-level analog audio from Pro AV equipment to Dante","<p dir=""auto"">Converts 2-channel analog audio into Dante network streams with ease</p><ul dir=""auto""><li data-preset-tag=""p""><p>Fully compatible with Dante and AES67 audio networking standards</p></li><li data-preset-tag=""p""><p>Supports both balanced and unbalanced audio input connections</p></li><li data-preset-tag=""p""><p>Delivers high-quality audio up to 24-bit / 96kHz resolution</p></li><li data-preset-tag=""p""><p>Features 3-level input gain control for flexible signal matching</p></li><li data-preset-tag=""p""><p>Powered via PoE for simple, single-cable installation</p></li><li data-preset-tag=""p""><p>Compact design allows discreet and flexible system integration</p></li><li data-preset-tag=""p""><p>Transmits audio reliably up to 100m over standard CAT6 cabling</p></li><li data-preset-tag=""p""><p>Low power consumption ensures efficient, scalable deployments</p></li><li data-preset-tag=""p""><p>Quick and intuitive setup using Dante Controller software</p></li></ul>","","https://framerusercontent.com/images/xSB5lwDTf3BOW7rEoQQFdMQNdY.png","Dante Audio Encoder with PoE port","netvio","audio","cabling,converter,encoder",""
"ls118","false","LS118","High output single 18-inch bass reflex subwoofer","<h3 dir=""auto"">Specifically designed to accompany and complement our DML500 and DML500A loudspeakers.</h3><p dir=""auto"">High output subwoofer system, bass reflex, semi horn-loaded port design</p><ul dir=""auto""><li data-preset-tag=""p""><p>Can be used in single, dual, and quad configurations</p></li><li data-preset-tag=""p""><p>Scales into dual and quad systems</p></li></ul><p dir=""auto""><strong>Details that make it professional</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>Professional 16-ply birch construction with wear-resistant polymer coating</p></li><li data-preset-tag=""p""><p>Four recessed handles for simplified handling and carrying</p></li><li data-preset-tag=""p""><p>Acetyl copolymer, high impact, low friction feet are located on the bottom to allow lock-in and easy cabinet movement</p></li></ul><p dir=""auto""><strong>Where our DML500 loudspeaker leaves off, the LS118 takes over</strong></p><p dir=""auto"">Remarkably compact, this high output subwoofer delivers impressive, tight low frequencies that blend perfectively with our full-range speakers.</p><p dir=""auto"">With an 18” direct radiating transducer, the LS118 produces high sound pressure levels with fast dynamics and musical reproduction of very low frequencies.</p><p dir=""auto"">Its 18-inch woofer is armed with massive vented magnets and 4” copper voice coil. Power handling is an impressive 3500W peak and 1200W continuous.</p><p dir=""auto""><strong>The LS118 is an impressive complement to our DML500 and DML500A loudspeakers</strong></p><p dir=""auto"">As a companion to our DML500 and DML500 loudspeakers, or as a tight, focused bass source for portal PA systems, the LS118 will impress your audience.</p>","","https://framerusercontent.com/images/EM309wM8b2mZNJTDeiZNoNMJd04.webp","Black cube subwoofer with a large speaker grille.","flat-panel-audio","audio","subwoofer","https://framerusercontent.com/assets/d4AgRtC0VNHKhx4Jsx984aYBa8.pdf"
"dml500a","false","DML500A","Created for architects and designers","<h4 dir=""auto"">Designed for architects, the thin design of the DML500A affords flush mounting in walls and ceilings.</h4><p dir=""auto"">We designed the DML500A to facilitate custom integration of 165° (conical) wide sound virtually anywhere it needs to be heard but less seen. You’ll find its form factor vanishing into ceilings and walls in any environment where décor is important.</p>","<p dir=""auto"">System integrators are specifying this radically different technology to solve room problems old-school loudspeakers worsen.</p><p dir=""auto"">How different? The DML500A eschews pumping focused air pressure waves traditional loudspeakers employ to create ear-fatiguing sound. Instead, non-destructive waves emerge wide and diffuse to more gently bathe the ear in pleasing, super-intelligible sound over almost eight octaves.</p><p dir=""auto"">Especially noticeable in highly reverberant spaces, DML sound waves provide non-destructive room interactions, so free of room echo and comb filtering that one customer referred to the intelligibility improvement over their old church system as “mind boggling.”</p><p dir=""auto"">Floor-to-balcony, stereo-stable imaging in every seat is another performance “wow,” making DML500A the top choice for immersive audio.</p><p dir=""auto"">Superb power handling plus 165° conical coverage allowed an American airport to replace 104 traditional speakers with six DML500A flat panels.</p><p dir=""auto"">Unmatched placement flexibility also optimizes aesthetic choices and quicker installations.</p><p dir=""auto"">Rugged construction includes a powder coated die cast aluminum frame with multiple mounting points. 200×200 VESA adapter is available for purchase separately.</p><p dir=""auto"">DML500A is designed for custom integration into existing structures or architecture. If the desired mounting location is where it might easily be impacted by foreign objects, the carbon-fiber/Nomex panel of the DML could be damaged. In these cases, consider adding a rigid grille to the DML500A or using the DML500 instead.</p><h3 dir=""auto"">Recommended filtering/crossover</h3><p dir=""auto"">The following are the initial recommended acoustic filters as implemented in all DML accoustic measurements. They also represent an EQ starting point for all field applications.</p><ul dir=""auto""><li data-preset-tag=""p""><p>High Pass – Butterworth 4th order (24 dB) @ 100Hz</p></li><li data-preset-tag=""p""><p>Peaking Filter – 95Hz / Q of 3 /Gain of 3 dB</p></li><li data-preset-tag=""p""><p>Peaking Filter – 265Hz / Q of 0.7 / Gain of -4 dB</p></li><li data-preset-tag=""p""><p>Peaking Filter – 500Hz / Q of 0.7 / Gain of 2 dB</p></li><li data-preset-tag=""p""><p>HF Shelving Filter – 4000Hz / Q of 1.0 / Gain of 2 dB</p></li></ul><h3 dir=""auto"">DML500A Specifications</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Frequency range / -10dB</p></td><td><p dir=""auto"">75Hz–20kHz</p></td></tr><tr><td><p dir=""auto"">Frequency response / ±6dB</p></td><td><p dir=""auto"">85Hz–20kHz</p></td></tr><tr><td><p dir=""auto"">Horizontal / vertical coverage</p></td><td><p dir=""auto"">165°</p></td></tr><tr><td><p dir=""auto"">System sensitivity</p></td><td><p dir=""auto"">92dB SPL</p></td></tr><tr><td><p dir=""auto"">Rated maximum SPL</p></td><td><p dir=""auto"">123dB</p></td></tr><tr><td><p dir=""auto"">System nominal impedance</p></td><td><p dir=""auto"">8 Ohms</p></td></tr><tr><td><p dir=""auto"">Power handling</p></td><td><p dir=""auto"">Continuous: 200W<br>Program: 300W<br>Peak: 600W</p></td></tr><tr><td><p dir=""auto"">Suggested high pass filter</p></td><td><p dir=""auto"">90Hz Butterworth 2nd order</p></td></tr></tbody></table></figure><h3 dir=""auto"">Drivers</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Transducer type</p></td><td><p dir=""auto"">FlatPanel transducer</p></td></tr><tr><td><p dir=""auto"">DML exciters</p></td><td><p dir=""auto"">4 × DML exciter</p></td></tr><tr><td><p dir=""auto"">Voice coil diameter</p></td><td><p dir=""auto"">32mm</p></td></tr><tr><td><p dir=""auto"">Voice coil winding wire</p></td><td><p dir=""auto"">Copper-clad aluminum</p></td></tr><tr><td><p dir=""auto"">Suspension design</p></td><td><p dir=""auto"">Standard spider</p></td></tr><tr><td><p dir=""auto"">Diaphragm design</p></td><td><p dir=""auto"">Bending wave modal</p></td></tr><tr><td><p dir=""auto"">Design principle</p></td><td><p dir=""auto"">Bending wave modal</p></td></tr><tr><td><p dir=""auto"">Radiator surface area</p></td><td><p dir=""auto"">400 × 575mm</p></td></tr><tr><td><p dir=""auto"">Material</p></td><td><p dir=""auto"">Carbon fiber honeycomb</p></td></tr></tbody></table></figure><h3 dir=""auto"">Input Connection</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Input connection</p></td><td><p dir=""auto"">Pigtail 14 AWG</p></td></tr></tbody></table></figure><h3 dir=""auto"">Physical</h3><figure><table><tbody><tr><th><p dir=""auto"">Specification</p></th><th><p dir=""auto"">Details</p></th></tr><tr><td><p dir=""auto"">Outer dimensions / H × W × D</p></td><td><p dir=""auto"">17.2″ × 23.4″ × 2.2″</p></td></tr><tr><td><p dir=""auto"">Outer dimensions / metric</p></td><td><p dir=""auto"">437mm × 596mm × 56mm</p></td></tr><tr><td><p dir=""auto"">Weight</p></td><td><p dir=""auto"">17 lbs / 7.72kg</p></td></tr><tr><td><p dir=""auto"">Shipping dimensions</p></td><td><p dir=""auto"">37″ × 27″ × 8″</p></td></tr><tr><td><p dir=""auto"">Shipping dimensions / metric</p></td><td><p dir=""auto"">800mm × 650mm × 250mm</p></td></tr><tr><td><p dir=""auto"">Shipping weight</p></td><td><p dir=""auto"">23 lbs / 10.45kg</p></td></tr></tbody></table></figure>","https://framerusercontent.com/images/vSSD3fPdBjE6U4M3uyWyFYGxds.png","Black rectangular panel with a silver frame.","flat-panel-audio","audio","speaker","https://framerusercontent.com/assets/85pekUPqoFT3BPQDDL5a8pZPL4.pdf"
