Slug,Title,Product Description,Thumbnail,Thumbnail:alt,Gallery
acoustic-parquet,ACOUSTIC PARQUET,"<p dir=""auto"">Acoustic Parquet™ acoutic panels are part of the Architectural Acoustic Solution collection. The collection is the result of 15 years constant acoustic innovation, aiming at offering the best acoustic comfort solution to any environment.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_01.jpg,Acoustic Tiles,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_04.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_05.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_06.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_07.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_08.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_09.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_10.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_11.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_12.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_13.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_14.png"
ara,ARA,"<h3 dir=""auto"">ARA listening furniture concept</h3><p dir=""auto"">A design furniture concept with built-in loudspeakers, created as a conscious listening object for home hi-fi environments.</p>",,ARA design furniture with built-in speakers for conscious hi-fi listening.,
at232-a,AT232-A,"<h3 dir=""auto"">AT232-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,AT232-A installation amplifier for Garvan architectural audio systems.,
at2404-a,AT2404-A,"<h3 dir=""auto"">AT2404-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/at2404-a_v01.png,AT2404-A installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/at2404-a_v01.png
at260-a,AT260-A,"<h3 dir=""auto"">AT260-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,AT260-A installation amplifier for Garvan architectural audio systems.,
at432-a,AT432-A,"<h3 dir=""auto"">AT432-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/at432-a_v01.png,AT432-A installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/at432-a_v01.png
at432-d,AT432-D,"<h3 dir=""auto"">AT432-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/at432-d_v01.png,AT432-D installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/at432-d_v01.png
at460-a,AT460-A,"<h3 dir=""auto"">AT460-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/at460-a_v01.png,AT460-A installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/at460-a_v01.png
at460-d,AT460-D,"<h3 dir=""auto"">AT460-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/at460-d_v01.png,AT460-D installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/at460-d_v01.png
at4804-a,AT4804-A,"<h3 dir=""auto"">AT4804-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/at4804-a_v01.png,AT4804-A installation amplifier for Garvan architectural audio systems.,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/at4804-a_v01.png
