Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet,Gallery
cl-s,true,CL S,AIR series cable,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20main.png,CL S,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12%20iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12%20side.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12-IP%20iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20AIR-S12.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/CL-S/CL-S12%20iso.png"
lair-122,true,LAIR 122,Mounting bracket for AIR-122,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220001.png,LAIR 122,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-122/LAIR-1220006-.png"
lair-152,true,LAIR 152,Mounting bracket for AIR-152,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520001.png,LAIR 152,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-152/LAIR-1520006-.png"
lair-62,true,LAIR 62,Mounting bracket for AIR-62,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620001.png,LAIR 62,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-62/LAIR-620006-.png"
lair-82,true,LAIR 82,Mounting bracket for AIR-82,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820001.png,LAIR 82,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LAIR-82/LAIR-820006-.png"
lls,true,LLS,Loudspeaker accessory,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS-WH0006.png,LLS,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS-WH0006.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR%20series/Accessories/LLS%20Render/LLS0005.png"
air-cl,true,AIR CL,AIR-C series accessory,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_main.png,AIR CL,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_dym.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_main.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CL/AIR-CL_side.png"
air-cs,true,AIR CS,AIR-C series accessory,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_main.png,AIR CS,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_dym.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_iso.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_main.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories/AIR-CS/AIR-CS_side.png"
h-air-12,true,H AIR 12,Horizontal mounting for AIR-CX-12,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0001.png,H AIR 12,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/H-AIR-12/HAIR-12%20_0006.png"
v-air-12,true,V AIR 12,Vertical mounting for AIR-CX-12,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0001.png,V AIR 12,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0003.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0004.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0005.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Accessories-Air-Cx/V-AIR-12/VAIR-12%20_0006.png"
