Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet,Gallery
acoustic-parquet,false,ACOUSTIC PARQUET,Acoustic Tiles,"<p dir=""auto"">Acoustic Parquet™ acoutic panels are part of the Architectural Acoustic Solution collection. The collection is the result of 15 years constant acoustic innovation, aiming at offering the best acoustic comfort solution to any environment.</p>",,https://framerusercontent.com/images/HgMtQIILWytJ1MaOmBwFYkl29c.jpg,,garvan-acoustics,,acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/framer_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_04.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_05.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_06.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_07.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_08.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_09.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_10.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_11.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_12.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_13.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_14.jpg"
ara,false,ARA,ARA design furniture with built-in speakers for conscious hi-fi listening.,"<h3 dir=""auto"">ARA listening furniture concept</h3><p dir=""auto"">A design furniture concept with built-in loudspeakers, created as a conscious listening object for home hi-fi environments.</p>",,,,garvan-acoustics,,,,
at232-a,false,AT232-A,AT232-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT232-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/amplifiers__amplifiers_01.jpg,AT232-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/at232-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/amplifiers__amplifiers_04.jpg"
at2404-a,false,AT2404-A,AT2404-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT2404-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/amplifiers__amplifiers_01.jpg,AT2404-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/at2404-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/amplifiers__amplifiers_04.jpg"
at260-a,false,AT260-A,AT260-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT260-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/amplifiers__amplifiers_01.jpg,AT260-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/at260-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/amplifiers__amplifiers_04.jpg"
at432-a,false,AT432-A,AT432-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT432-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/amplifiers__amplifiers_01.jpg,AT432-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/at432-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/amplifiers__amplifiers_04.jpg"
at432-d,false,AT432-D,AT432-D installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT432-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/amplifiers__amplifiers_01.jpg,AT432-D — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/at432-d_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/amplifiers__amplifiers_04.jpg"
at460-a,false,AT460-A,AT460-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT460-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/amplifiers__amplifiers_01.jpg,AT460-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/at460-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/amplifiers__amplifiers_04.jpg"
at460-d,false,AT460-D,AT460-D installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT460-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/amplifiers__amplifiers_01.jpg,AT460-D — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/at460-d_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/amplifiers__amplifiers_04.jpg"
at4804-a,false,AT4804-A,AT4804-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT4804-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/amplifiers__amplifiers_01.jpg,AT4804-A — Garvan Acoustics,garvan-acoustics,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/at4804-a_datasheet.pdf,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/amplifiers__amplifiers_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/amplifiers__amplifiers_02.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/amplifiers__amplifiers_03.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/amplifiers__amplifiers_04.jpg"
