Slug,:draft,Title,Sub Title,Product Description,Technical Table,Brand,Product Categories,Product Tags,Specsheet
acoustic-parquet,false,ACOUSTIC PARQUET,Acoustic Tiles,"<p dir=""auto"">Acoustic Parquet™ acoutic panels are part of the Architectural Acoustic Solution collection. The collection is the result of 15 years constant acoustic innovation, aiming at offering the best acoustic comfort solution to any environment.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>ACOUSTIC PARQUET</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/acoustic-parquet/acoustic-parquet_datasheet.pdf
ara,false,ARA,ARA design furniture with built-in speakers for conscious hi-fi listening.,"<h3 dir=""auto"">ARA listening furniture concept</h3><p dir=""auto"">A design furniture concept with built-in loudspeakers, created as a conscious listening object for home hi-fi environments.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>ARA</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,
at232-a,false,AT232-A,AT232-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT232-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT232-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at232-a/at232-a_datasheet.pdf
at2404-a,false,AT2404-A,AT2404-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT2404-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT2404-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at2404-a/at2404-a_datasheet.pdf
at260-a,false,AT260-A,AT260-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT260-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT260-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at260-a/at260-a_datasheet.pdf
at432-a,false,AT432-A,AT432-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT432-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT432-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-a/at432-a_datasheet.pdf
at432-d,false,AT432-D,AT432-D installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT432-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT432-D</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at432-d/at432-d_datasheet.pdf
at460-a,false,AT460-A,AT460-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT460-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT460-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-a/at460-a_datasheet.pdf
at460-d,false,AT460-D,AT460-D installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT460-D installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT460-D</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at460-d/at460-d_datasheet.pdf
at4804-a,false,AT4804-A,AT4804-A installation amplifier for Garvan architectural audio systems.,"<h3 dir=""auto"">AT4804-A installation amplifier</h3><p dir=""auto"">A Garvan amplifier option for professional architectural audio systems, selected to support reliable sound diffusion and system integration.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>AT4804-A</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Amplifier</td></tr></tbody></table>,garvan-acoustics,audio,amplifier,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/at4804-a/at4804-a_datasheet.pdf
