Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
theatrix,false,"THEATRIX
","FREESTANDING SPEAKER
","<h3 dir=""auto"">Description</h3><p dir=""auto"">These 3-way extreme speakers deliver an incredibly dynamic and effortless performance. Utilising commercial cinema technology, the Theatrix are capable of producing high sound pressure levels with pristine fidelity and extremely low distortion. A dedicated midrange driver enhances performance and ensures superior vocal intelligibility.</p><p dir=""auto"">The Theatrix are serious main front speakers for a truly serious dedicated home cinema experience. &nbsp;It is a 3-way, bi-amped screen loudspeaker suitable for medium to large size rooms. The addition of a dedicated midrange section overcomes the demands placed on the high frequency component, enhancing performance.</p><p dir=""auto"">By splitting the signal into three dedicated sections, the loudspeaker produces superior vocal intelligibility in the critical 1kHz – 3kHz speech region. It’s not often that you find smooth response, acoustic power, and dynamic range in one model of speaker, but with the Theatrix you can have it all.</p><p dir=""auto"">The Theatrix features a 380mm high stiffness paper cone driver with a 77mm voice coil for increased linear excursion, and a powerful, vented magnet assembly designed for low distortion. Its specially engineered bass driver offers superb bass performance, high peak program power handling and high efficiency – capable of very high sound pressure levels. The massive ferrite magnet structure includes components engineered to achieve maximum efficiency. &nbsp;Symmetrical gap geometry, combined with large linear voice coil travel, ensures minimum distortion at all levels.</p><p dir=""auto"">The dedicated midrange is delivered by a Krix designed 90 by 40 degree constant directivity horn with a 77mm throat, driven by a 165mm curvilinear paper cone driver with large voice coil and neodymium magnet.</p><p dir=""auto"">For high frequencies, the Theatrix features Krix’s patented design, a 90 by 40 short throw horn, delivering optimum dispersion of 90 degrees horizontal and 40 degrees vertical, consistently maintained over the entire working bandwidth. It is driven by a compression driver with a 25mm throat, 32mm edge-wound aluminium voice coil and Nomex former. &nbsp;The constant directivity means far less sound is reflected off of side walls and ceilings, ensuring sound energy is focused directly at the listening position for better clarity.</p><p dir=""auto"">The horn assemblies are mounted to the bass cabinet with a solid mounting bracket which offers both vertical and horizontal tilt. The electronic filter network for the horn section is housed in a separate, well-ventilated enclosure, mounted at the rear of the midrange horn. Professional grade, close tolerance components ensure the system copes with the high sound pressure levels that well-recorded music and movies demand. A separate electronic crossover network is required between the bass driver and horn elements.</p><p dir=""auto"">For the ultimate cinema experience at home, play it through Krix.</p>",,https://framerusercontent.com/images/QCxV5CbeVPkkdoDTFmuyqpbyYY.jpg,"THEATRIX
",krix,audio,speaker,
cyclonix-12,false,"CYCLONIX 12
",SUBWOOFER,"<h3>Description</h3><p>This low-profile, passive subwoofer has been designed to deliver outstanding low frequency performance as a supporting subwoofer for an MX-10, or as a standalone subwoofer in a Series SX system.</p><p>The Cyclonix range of subwoofers are designed for edge-of-your-seat bass performance in dedicated home cinema rooms.</p><p>Their shallow depth allows them to be placed inconspicuously against a side or back wall as supporting subwoofers to a Series MX system. They can also be used as the main subwoofers in a dedicated home cinema system – either behind an acoustically transparent screen or elsewhere in the room.</p><p>The Cyclonix 12 has taken its design cues from the subwoofer modules in the MX-10 system, foregoing the acoustic absorbent material on the front baffle and instead offering an optional black cloth grille.</p><p>The 305mm bass driver features a 50mm voice coil with ventilated magnet system. The dual down-firing vents are tuned to achieve maximum output, while the proprietary Krix rubber feet provide improved acoustic isolation on hard and soft floor surfaces.</p><p>A separate power amplifier is required for this subwoofer and can be connected to the LFE output of any AV processor or receiver.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>305mm (12-inch) paper cone, 50mm long throw voice coil, ventilated magnet</td></tr><tr><td>Vents</td><td>Dual down-firing</td></tr><tr><td>Recommended amplifier power</td><td>200-500 Watts RMS</td></tr><tr><td>In-room response</td><td>25Hz - 200Hz</td></tr><tr><td>Sensitivity</td><td>92dB SPL (2.83V/1m)</td></tr></tbody></table></figure>",https://framerusercontent.com/images/E7qqg6cNTKt0rkU7sK1gp4jlQ.jpg,"CYCLONIX 12
",krix,audio,subwoofer,
megaphonix-centre,false,"MEGAPHONIX CENTRE
","ON-WALL SPEAKER
","<h3>Description</h3><p>Mounted below your screen, the Megaphonix Centre delivers high quality dialogue and effects for your ultimate movie experience.</p><p>The Megaphonix Centre speaker is designed specifically for use in dedicated home cinemas, using high power handling and high sensitivity drivers. Ideal for those with non-acoustically transparent screens, this slimline speaker can be mounted inconspicuously beneath the screen or inside custom joinery.</p><p>The 255mm bass driver has a 50mm voice coil and has been developed to offer low harmonic distortion, especially in the critical midband. &nbsp;The paper cone and surround of the bass driver have been developed to provide the smoothest possible response.</p><p>The high frequency drive unit is a specially-damped, high power, 26mm doped fabric dome tweeter, and is coupled with Krix’s proprietary waveguide to provide consistently-maintained optimum dispersion of 90 degrees horizontal and 40 degrees vertical over the entire bandwidth. The combined high frequency response is exceptionally smooth and well controlled – a new benchmark in loudspeaker reproduction.</p><p>The Megaphonix Centre enclosure is braced and critically damped to improve bass extension. It also comes with a black material grille and rear key hook mounts for easy installation.</p><p>For those looking for space saving solutions, the Megaphonix Centre is the on wall member of a five-speaker family, allowing you to combine it with main or surround speakers for a connected, clear and smooth sound experience.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>",,https://framerusercontent.com/images/B9TAz6Cf8DaQnOJqXQ0mGaa0.jpg,"MEGAPHONIX CENTRE
",krix,audio,speaker,
cinematix,false,"CINEMATIX
","FREESTANDING SPEAKER
",<h3>Description</h3><p>Cinema Black</p><p><br><br></p>,,https://framerusercontent.com/images/ro4OWSs7qfyxq8OuooT9djrcY.jpg,"CINEMATIX
",krix,audio,speaker,
cyclonix-18,false,"CYCLONIX 18
",SUBWOOFER,"<h3>Description</h3><p>Hear every on-screen rumble or explosion with the Cyclonix 18, as it recreates the lowest possible audible frequencies for the ultimate cinema experience at home.</p><p>For those who prefer a subwoofer with no built-in amplifier, the Cyclonix 18 provides a passive subwoofer experience, using a high excursion bass driver mounted in a high quality MDF enclosure. The proprietary Krix ‘X’ brace system is used to eliminate panel resonances.</p><p>The giant 455mm bass driver features a 100mm voice coil, powerful vented magnetic circuit and double spider assembly. The optimum cooling system provides fast heat exchange and reduced thermal power compression.</p><p>The dual front-vented enclosure is tuned to achieve maximum output, resulting in an incredibly efficient subwoofer for high drive level applications, while the unit’s proprietary Krix rubber feet provide improved acoustic isolation on hard and soft floor surfaces.</p><p>A separate power amplifier is required for this subwoofer and can be connected to the LFE output of any AV processor or receiver.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>455mm bass driver, 100mm voice coil, vented magnetic circuit, double spider</td></tr><tr><td>Enclosure</td><td>Dual front-vented</td></tr><tr><td>Recommended amplifier power</td><td>200-1400 Watts RMS</td></tr><tr><td>Protection</td><td>High-pass filter at 20Hz, 24dB/octave Butterworth</td></tr></tbody></table></figure>",https://framerusercontent.com/images/QnLNVw3LJtBPrXNVqJlmpl7qydM.jpg,"CYCLONIX 18
",krix,audio,subwoofer,
as-325,false,"AS-325
",SPACER MODULE,"<h3>Description</h3><p>For large acoustically transparent screens you want to make sure that the sound matches the picture. Widen your soundstage and improve imaging with the AS325 module, compatible with the MX-20, MX-30 and MX-40 systems.</p><p>Recreate the Krix Infinite Baffle Wall used in commercial cinemas all over the world with the AS325 Absorption Spacer Modules, for the ultimate cinema experience at home.</p><p>Positioned between the main speakers and subwoofers of the MX-20, MX-30 or MX-40 speaker systems, the Absorption Spacer Modules are covered and filled with acoustic absorbing material, absorbing unwanted reflections and acting as a bass trap to enhance the overall acoustic performance of your speaker system.</p><p>At 325mm wide and the same height and depth as the MX modules, the AS325 ensures your soundstage fills the entire acoustically transparent screen when using a large or cinemascope screen.</p><p>Purchased in pairs to ensure the complete speaker system is symmetrical, a pair will add 650mm to the overall width of the system. Strategically positioned openings in the front baffle underneath the acoustic treatment also improve the module’s effectiveness.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>",,https://framerusercontent.com/images/p3pCQ4lHvViEuxsPsCCdtL669dM.jpg,"AS-325
",krix,audio,speaker,
seismix-1-mk6,false,SEISMIX 1 MK6,"SUBWOOFER
","<h3>Description</h3><p>Performance in a compact design. The Seismix 1 Mk6 will fit just about anywhere and deliver smooth bass for both movies and music.</p><p>For a big bass experience from a discreet subwoofer that can be placed almost anywhere in the room, the Seismix 1 Mk6 will provide the right sound while taking up half the space.</p><p>With a hefty 200mm downward firing woofer and vent, and a high quality class D amplifier, the Seismix 1 Mk6 combines high efficiency with low power consumption. Its compact design – with the raised cabinet kept off the floor with specially moulded rubber feet – provides flexibility, without sacrificing bass impact.</p><p>With effective design and simple styling, this unobtrusive subwoofer will look and sound great, whether tucked discreetly in the corner or built into custom joinery.</p><p>For the ultimate sound experience at home, play it through Krix.</p>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>200mm (8-inch) doped paper cone, 38mm voice coil, vented magnet</td></tr><tr><td>Amplifier power</td><td>350 Watts RMS, 700 Watts maximum instantaneous</td></tr><tr><td>Frequency range</td><td>25Hz - 200Hz (in room)</td></tr><tr><td>Output</td><td>116dB maximum SPL (in room)</td></tr><tr><td>Inputs</td><td>Stereo line-level RCA</td></tr><tr><td>Enclosure</td><td>Bass reflex, down-firing vent</td></tr></tbody></table></figure>",https://framerusercontent.com/images/B7aWGTSIaDCApaA9enIYetD61M.jpg,SEISMIX 1 MK6,krix,audio,subwoofer,
mx-20,false,"MX-20
","MODULAR SYSTEM
","<h3>Description</h3><p>Designed for dedicated home cinemas with an acoustically transparent screen, the MX-20 will deliver your favourite movie soundtracks with supreme definition and accuracy, right through the picture and into your seat.</p><p>For a wall of sound that plunges through the big screen, the MX-20 will provide the impact you’re looking for. With every aspect optimised to deliver the most faithful reproduction of movie soundtracks, from a whisper to the explosion immediately after, these modules provide a true commercial cinema experience at home.</p><p>The MX-20 is designed for cinema rooms four to seven metres long. This system comprises five modules, all of which are the same height and a slim line depth of just 295mm for simple installation into a wall cavity. The front baffle of each module is covered with an acoustic absorbent material to absorb any sound reflecting off the back of the screen or the room itself. This assists greatly with the acoustic treatment of the room to ensure better intelligibility and overall sound performance.</p><p>The main speakers feature a 255mm mid-bass driver which has a 50mm voice coil developed to offer low harmonic distortion, especially in the critical midband.</p><p>The high frequency drive unit is a damped, high power, 26mm doped fabric dome tweeter, coupled with a proprietary Krix waveguide, for optimum dispersion over the entire working bandwidth. Each subwoofer contains a large 380mm paper cone driver with a 100mm edge-wound copper voice coil, dual spider assembly, and vented magnet assembly.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>",,https://framerusercontent.com/images/0eC8U1flEKWNLjJGZIgO1wmICo.jpg,"MX-20
",krix,audio,speaker,
mx-5,false,"MX-5
","MODULAR SYSTEM
","<h3>Description</h3><p>For the movie lover with a small to medium size room, the MX-5 provides big sound in a small package, allowing versatility of installation without taking up valuable space. Boasting the Krix waveguide and large mid-bass driver, movie soundtracks will be delivered with the articulation and impact you’ve always wanted.</p><p>The MX-5 features five compact modules, allowing easy installation behind an acoustically transparent screen in a wall cavity, on a shelf or cabinetry, or below a projector screen. The front baffle of each module is covered with an acoustic absorbent material to absorb any sound reflecting off the back of the screen or the room itself. This assists greatly with the acoustic treatment of the room to ensure better intelligibility and overall sound performance.</p><p>The main speakers feature a 205mm mid-bass driver which has a 38mm voice coil wound on a high-powered aluminium former. The high frequency drive unit is a damped, high power, 26mm doped fabric dome tweeter, coupled with a proprietary Krix waveguide for optimum dispersion over the entire working bandwidth.</p><p>The subwoofer units feature 275mm (11”) drivers with 50mm edge-wound copper voice coil, dual spider assembly, and vented magnet assembly.</p><p>For the ultimate cinema experience at home, play it through Krix.</p>",,https://framerusercontent.com/images/mxEdelObMf7EnHKu3qRWa8eEr4.jpg,"MX-5
",krix,audio,speaker,
epicentrix-mk2,false,EPICENTRIX MK2,The Epicentrix Mk2 is a powerful centre channel speaker with exceptional vocal intelligibility.,"<h3>Description</h3><p>Home theatre on a grand scale. Exceptional vocal intelligibility and a depth that will defy the dimensions of your room. The Epicentrix Mk2 is a powerful centre channel speaker with exceptional vocal intelligibility, providing the ultimate home theatre experience on a grand scale.</p><p>Designed to truly match the pace and high-energy of the Krix Neuphonix Mk2 floorstanding speakers, the Epicentrix Mk2 features identical drivers to ensure a seamless reproduction of vocals and sound effects, and delivers meticulous precision and depth that will defy the dimensions of your room.</p><p>The Epicentrix Mk2 delivers engrossing bass through four bass drivers with oversized magnets and heavy-duty voice coils for large cone excursion. The hefty 130mm midrange driver has an oversized magnet for lower distortion, and the 26mm high frequency driver has a wave guide centre plug for controlled directivity. The shaped front baffle is designed to minimise reflections from the front of the speaker, while the vertical arrangement of the tweeter and midrange drivers ensure smooth phasing and even sound distribution throughout the room.</p><p>Finished with a stylish scalloped edge grille, the Epicentrix Mk2 not only looks and sounds great, it puts you firmly at the epicentre of your grand home theatre experience.</p><p>For the ultimate sound experience at home, play it through Krix.</p>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Configuration</td><td>3-way</td></tr><tr><td>Drivers</td><td>4 x 130mm bass + 130mm midrange + 26mm dual-concentric tweeter</td></tr><tr><td>Frequency response</td><td>35Hz - 40kHz (in room)</td></tr><tr><td>Power handling</td><td>50-300 Watts RMS recommended</td></tr><tr><td>Sensitivity</td><td>90dB at 2.83V/1m</td></tr><tr><td>Impedance</td><td>Nominally 6 Ohms (minimum 4.3 Ohms)</td></tr><tr><td>Dimensions</td><td>233mm H x 910mm W x 355mm D</td></tr><tr><td>Weight</td><td>24kg</td></tr></tbody></table></figure>,https://framerusercontent.com/images/ntbBNobZFK2zt5KR0e5qT0qafg.jpg,EPICENTRIX MK2,krix,audio,speaker,https://cdn.prod.website-files.com/63e33686b480b80aa505edc2/64a4d47d68551aa9ff5b9ce5_Epicentrix%20Mk2%20Specifications%20Sheet-004.pdf
