Slug,Product Description,Gallery
vera-m-wh,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Vera M-WH is the complete solution where portable, powerful and reliable sound system is a must have. It features quad 6” plus 1” low distortion driver satellites and two effective 15” subwoofers. Driven by integrated Powersoft® amplifier and processing, Vera M-WH is easy to setup and use, providing 6000 W of nominal power.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Powered speaker set</p><p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>6000 W total system power</p></li><li data-preset-tag=""p""><p>4 x 6”+1” satellites</p></li><li data-preset-tag=""p""><p>15” subwoofers</p></li><li data-preset-tag=""p""><p>132 dB Max SPL per side</p></li><li data-preset-tag=""p""><p>Complete accessories set</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-dual-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-single-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-single-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-stand-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-iso-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-iso-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-mounting-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-sub-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-bottom-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-iso-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-iso-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/VerA%20M/VerA-M-WH-top-top-1000x1000.jpg"
fly-sub-18,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Fly-Sub-18 is subwoofer for Fly 6L line array, based on two 18’’ cone drivers and featuring built-in Powersoft amplifier. Fly-Sub-18 has been created to ensure complete low-end supports for the entire Fly system. System’s frequency range extends from 27 to 150 Hz, while its high-efficiency components allow delivering 138 dB of sound pressure. With own-designed hardware, Fly-Sub-18 can be easily set-up, adjusting to any configuration required.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Powered subwoofer</p><p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>2000 W power</p></li><li data-preset-tag=""p""><p>Powersoft® amplifier</p></li><li data-preset-tag=""p""><p>Two 18” woofers&nbsp;with 4” voice coil</p></li><li data-preset-tag=""p""><p>138 dB Max SPL</p></li><li data-preset-tag=""p""><p>Two M20 and Fly array bracket adapters</p></li></ul><p dir=""auto""><br><br></p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly_group-3_iso-1000x1000.jpg"
fd-s15,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Field series' design allows for easy coupling allowing engineer to create a tailored solution for the best coverage and clarity in clustered distributed systems domed stadiums, arenas, and other large open-air spaces.</p><p dir=""auto"">With a comprehensive range of mounting accessories engineered for permanent installation, the Field series is prepared to deliver controlled sound into the most difficult installations.</p><p dir=""auto"">FD-S15 is a hybrid-horn subwoofer extending the operation of the Field series for truly full-range applications. Compatible IP55 enclosure allows to integration of FD-S15 straight into FD-52 clusters for convenience of system engineering, deployment, and amplification.</p><p dir=""auto""><strong>Product Description:</strong></p><p dir=""auto"">Weather-resistant installation subwoofer</p><p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>1000 W nominal power</p></li><li data-preset-tag=""p""><p>15” woofer</p></li><li data-preset-tag=""p""><p>141 dB Max SPL</p></li></ul><p dir=""auto""><br><br></p><p dir=""auto"">1 pink noise, filtered according to AES 2 - 2012, crest factor 9 dB</p><p dir=""auto"">2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FD-S15-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FIELD-series---group0008-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FIELD-series---group0013-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Field%20FD/FIELD-series---group0014-1000x1000.jpg"
nx-15i,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Passive full-range speaker, NX 15i is based on 15’’+1,5’’ drivers and has been purpose-designed for installations. With well-thought-out construction, light weight and compact size, it provides considerable power and smooth sonic performance, fitting into any and all installations.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Installation speaker</p><p dir=""auto""><strong>Main features:</strong></p><p dir=""auto"">• 500 W nominal power</p><p dir=""auto"">• 15” woofer with 3” voice coil</p><p dir=""auto"">• 1,5” HF driver with 2,8” voice coil</p><p dir=""auto"">• 134,5 dB Max SPL</p><p dir=""auto"">• M10 mounting points</p><p dir=""auto""><br><br></p><p dir=""auto"">1 pink noise, filtered according to AES 2 - 2012, crest factor 9 dB</p><p dir=""auto"">2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-top-1000x1000.jpg"
sting-6q,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Sting 6Q is a subcompact point-source speaker designed for nearfield portable use with the prominent 6” coaxial driver at its heart. With advanced distortion reduction technologies inside, Sting 6Q offers unparalleled music clarity and speech intelligibility along with superb bottom end capacity coming as a surprise from a speaker of its size.</p><p dir=""auto"">Sting 6Q can be installed onto the tripod stand or subwoofer distance pole, the surface stand, or put directly on a standard 5/8” thread microphone stand, and connected using portable-friendly Speakon connector. Sting 6Q is available in 16 Ohm, and is a perfect choice for small portable speaker sets or front-fill applications.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Versatile point source speaker</p><p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>150W nominal power</p></li><li data-preset-tag=""p""><p>6” coaxial driver&nbsp;with 1,75""&nbsp;voice coil</p></li><li data-preset-tag=""p""><p>124,8 dB Max SPL</p></li></ul><p dir=""auto"">1 pink noise, filtered according to AES 2 - 2012, crest factor 12 dB</p><p dir=""auto"">2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/%2BFS-6Q_sting_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/%2BFS-6Q_sting_speakon_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/ST6-PM-connect-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/ST6-PM30-connect-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/ST6-TA-iso-connect-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-bottom-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-cut-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-cut-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-cut-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-cut-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-no-grill-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-no-grill-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Sting-series/Sting-6Q-WH-main-1000x1000.jpg"
cluster-q,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Cluster Q is an installation line array module, based on 4x 6"" LF drivers and 2x 1"" HF drivers with 1,75 voice coil each.&nbsp; Reliable enclosure and carefully designed components make the system perfect option for fixed installations of different sizes. Available in waterproof version.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Installation line array module</p><p dir=""auto""><strong>Main features:</strong></p><p dir=""auto"">• 620W nominal power</p><p dir=""auto"">• Four 6” woofers with 1,75” voice coil</p><p dir=""auto"">• Two 1” HF driver with 1,75” voice coil</p><p dir=""auto"">• 138 dB Max SPL</p><p dir=""auto"">• Integrated flying hardware</p><p dir=""auto"">1 pink noise, filtered according to AES 2 - 2012, crest factor 9 dB</p><p dir=""auto"">2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_2x4_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_3x4_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_4-top_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q_top-1000x1000.jpg"
air-82-ip,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Weather-resistant speaker, AIR-82&nbsp;IP comes in extremely compact size, featuring 8” coaxial woofer. The model has numerous mounting options, providing usability for each and every project.<br><strong>Product description:<br></strong>Weather-resistant speaker<br><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>250 W nominal power</p></li><li data-preset-tag=""p""><p>8” coaxial driver</p></li><li data-preset-tag=""p""><p>127 dB Max SPL</p></li><li data-preset-tag=""p""><p>VESA 75x75, M10 mounting points</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-82-WH-top-1000x1000.jpg"
cluster-q-ip,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Cluster Q is an installation line array module, based on 4x 6"" LF drivers and 2x 1"" HF drivers with 1,75 voice coil each.&nbsp; Reliable enclosure and carefully designed components make the system perfect option for fixed installations of different sizes. Available in waterproof version.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Installation line array module</p><p dir=""auto""><strong>Main features:</strong></p><p dir=""auto"">• 620W nominal power</p><p dir=""auto"">• Four 6” woofers with 1,75” voice coil</p><p dir=""auto"">• Two 1” HF driver with 1,75” voice coil</p><p dir=""auto"">• 138 dB Max SPL</p><p dir=""auto"">• Integrated flying hardware</p><p dir=""auto""><br><br></p><p dir=""auto"">1 pink noise, filtered according to AES 2 - 2012, crest factor 9 dB</p><p dir=""auto"">2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q-IP_top-1000x1000.jpg"
air-62,"<h3>Description</h3><p>AIR-62 is a passive installation speaker with extremely compact size, compact weight and numerous mounting options. AIR-62 features 6” woofer with 1,75” voice coil and is availabe in 8 and 16 Ohm versions.</p><p><strong>Product description:</strong></p><p>Іnstallation speaker</p><p><strong>Main features:</strong></p><p>• 150 W nominal power</p><p>• 6” woofer with 1,75” voice coil</p><p>• 1” HF driver with 1” voice coil</p><p>• 124 dB Max SPL</p><p>• VESA 75x75, M10 mounting points</p><p><br></p><p>1 pink noise, filtered according to AES 2 - 2012, crest factor 9 dB</p><p>2 based on transducer power measured according to AES 2 - 2012</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-62-WH-top-1000x1000.jpg"
fly-sub-12l,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Fly-Sub-12L is a convenient low-frequency supplement for Fly-6L system, based on 12’’ own-designed woofer. With built-in Powersoft amplifiers, this compact, but yet powerful system is a perfect kicker, capable to provide 1400W of power. With thoroughly designed hardware, Fly-Sub-12L can be flown or ground stacked, adjusting to any demand of the project given.&nbsp;</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Powered subwoofer</p><p dir=""auto""><strong>Main features:</strong><br><br><br></p><ul dir=""auto""><li data-preset-tag=""p""><p>1400W power</p></li><li data-preset-tag=""p""><p>Powersoft® amplifier</p></li><li data-preset-tag=""p""><p>Two 12” woofers&nbsp;with 2,5” voice coil</p></li><li data-preset-tag=""p""><p>134,5 dB Max SPL</p></li><li data-preset-tag=""p""><p>Flying frame</p><p><br><br><br></p></li></ul><figure><table><tbody><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr><tr><td><p dir=""auto""><br><br></p></td><td><p dir=""auto""><br><br></p></td></tr></tbody></table></figure>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12L_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12L_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12L_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12L_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-12L_top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly_group-1_iso-1000x1000.jpg"
