Slug,:draft,Title,Sub Title,Product Description,Technical Table,Brand,Product Categories,Product Tags,Specsheet
ft600sip,true,FT600SIP,"Doorphone entry outdoor station, no camera, no keypad",The FT600SIP is a standalone outdoor station with 2 usable SIP accounts that can be activated simultaneously. FT600W monitors and FT600APP smartphone apps can be ordered for this outpost in addition to using the 2nd SIP account. The outpost has one push button. The supplied black-anodized housing allows on- and flush-mounting (216x116mm).,"<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>SIP accounts</td><td>2 (simultaneous)</td></tr><tr><td>Push buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Housing</td><td>Black anodized, on-/flush-mount 216x116mm</td></tr></tbody></table>",fasttel,audio,"door-phone,outdoor",
ft600sip-3,false,FT600SIP-3,Doorphone entry outdoor post 2 buttons,<h3>Description</h3><p>The FT600SIP&nbsp; is a standalone outdoor station with 3 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>SIP accounts</td><td>3 (simultaneous)</td></tr><tr><td>Push buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip-3/ft600sip-3_datasheet.pdf
ft600ksip,false,FT600KSIP,"Doorphone entry outdoor post
without camera, with keypad",<h3>Description</h3><p>The FT600SIP&nbsp; is a standalone outdoor station with keypad and 2 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button and a keypad</p>,"<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>SIP accounts</td><td>2 (simultaneous)</td></tr><tr><td>Push buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>Yes</td></tr><tr><td>Housing</td><td>Black anodized, on-/flush-mount 216x116mm</td></tr></tbody></table>",fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksip/ft600ksip_datasheet.pdf
ft600ksipvc,false,FT600KSIPVC,"Doorphone entry outdoor post
with camera, with keypad","<p dir=""auto"">The FT600SIP&nbsp; is a standalone outdoor station with keypad and 2 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button and a color camera with day-night vision</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>SIP accounts</td><td>2 (simultaneous)</td></tr><tr><td>Push buttons</td><td>1</td></tr><tr><td>Camera</td><td>Color, day/night</td></tr><tr><td>Keypad</td><td>Yes</td></tr></tbody></table>",fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksipvc/ft600ksipvc_datasheet.pdf
ft2501ip,false,FT2501IP,"Wizard Elite IP grey
1 button, no camera, no keypad",<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Elite IP</td></tr><tr><td>Finish</td><td>Grey aluminium</td></tr><tr><td>Buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Option</td><td>Ekey fingerprint reader</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ip/ft2501ip_datasheet.pdf
ft2501ipvc,false,FT2501IPVC,"Wizard Elite IP Grey. 1 button, with camera, no keypad.",<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Elite IP</td></tr><tr><td>Finish</td><td>Grey aluminium</td></tr><tr><td>Buttons</td><td>1</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Option</td><td>Ekey fingerprint reader</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ipvc/ft2501ipvc_datasheet.pdf
ft2503kip,false,FT2503KIP,"Wizard Elite IP grijs
3 knoppen, zonder camera, met keypad","<p dir=""auto"">De Wizard Elite IP is het nieuwe paradepaardje van Fasttel, als opvolger van de Wizard Elite. Zowel het&nbsp;<strong>design als de technische mogelijkheden</strong>&nbsp;van deze videofoon en parlofoon zijn ongekend. Daardoor past hij zowel in&nbsp;<strong>residentiële als industriële projecten</strong>. Een zeldzame combinatie.</p><p dir=""auto"">Er zijn tal van&nbsp;<strong>uitbreidingen, personalisaties, formaten en kleuren mogelijk.</strong></p><p dir=""auto"">Deze videofoon is standaard verkrijgbaar in&nbsp;<strong>zilver en zwart</strong>, maar kan op aanvraag ook in een andere kleur gelakt worden.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Elite IP</td></tr><tr><td>Buttons</td><td>3</td></tr><tr><td>Keypad</td><td>Yes</td></tr><tr><td>Standard finishes</td><td>Silver / black</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2503kip/ft2503kip_datasheet.pdf
db9701ip,false,DB9701IP,"Wizard Elite IP grey 1 button, no camera, no keypad",<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Elite IP</td></tr><tr><td>Finish</td><td>Grey aluminium</td></tr><tr><td>Buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Option</td><td>Ekey fingerprint reader</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_datasheet.pdf
ft2520kvc,false,FT2520KVC,"Wizard Ap@rtment grey
with camera, with keypad","<p dir=""auto"">Wizard Apartment grey<br>with camera, with keypad</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Ap@rtment</td></tr><tr><td>Finish</td><td>Grey</td></tr><tr><td>Apartments supported</td><td>Up to 999</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>Yes</td></tr><tr><td>Access reader</td><td>Wiegand / proximity</td></tr><tr><td>Protocol</td><td>SIP / VoIP</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2520kvc/ft2520kvc_datasheet.pdf
ftb2520,false,FTB2520,"Wizard Ap@rtment black
no camera, no keypad","<ul dir=""auto""><li data-preset-tag=""p""><p>Scroll names list from anywhere in the world customizable</p></li><li data-preset-tag=""p""><p>Suitable for up to 999 apartments</p></li><li data-preset-tag=""p""><p>Fits in any exterior due to RGB LEDs and freely selectable frame color</p></li><li data-preset-tag=""p""><p>Has an integrated Wiegang/proximity reader for access to own residents</p></li><li data-preset-tag=""p""><p>With integrated camera</p></li><li data-preset-tag=""p""><p>Communicates with any SIP/VoiP device in a home</p></li><li data-preset-tag=""p""><p>The integrated keypad can be used additionally for access codes for quick access.</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Ap@rtment</td></tr><tr><td>Finish</td><td>Black</td></tr><tr><td>Apartments supported</td><td>Up to 999</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Access reader</td><td>Wiegand / proximity</td></tr><tr><td>Protocol</td><td>SIP / VoIP</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftb2520/ftb2520_datasheet.pdf
