"Slug",":draft","Title","Sub Title","Product Description","Technical Table","Thumbnail","Thumbnail:alt","Brand","Product Categories","Product Tags","Specsheet","Gallery"
"nx-15","true","NX 15","Passive full-range 15-inch loudspeaker","<p>The NX 15 is a passive full-range loudspeaker built around a low-distortion 15-inch neodymium woofer and a 1.5-inch neodymium HF driver, for touring and installation sound reinforcement.</p><ul><li><p>15-inch neodymium woofer + 1.5-inch neodymium HF driver</p></li><li><p>Passive, pole-mountable</p></li><li><p>Part of the NX touring/install series</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>15-inch neodymium woofer (3-inch VC) + 1.5-inch neodymium HF (2.8-inch VC)</td></tr><tr><td>Frequency response</td><td>45-19,000 Hz (-10 dB)</td></tr><tr><td>Max SPL</td><td>134.5 dB</td></tr><tr><td>Sensitivity</td><td>98.5 dB (1W/1m)</td></tr><tr><td>Impedance</td><td>8 Ohm</td></tr><tr><td>Nominal power</td><td>500 W</td></tr><tr><td>Dimensions</td><td>436 x 735 x 423 mm</td></tr><tr><td>Weight</td><td>26 kg net / 28 kg shipping</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/NX-series/NX-15-main-1000x1000.jpg","NX 15","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/NX-series/NX-15-datasheet.pdf",""
"nx-10","true","NX 10","Compact passive full-range 10-inch loudspeaker","<p>The NX 10 is a compact passive full-range loudspeaker in the NX series, suited to portable sound reinforcement and installation where a smaller format is needed.</p><ul><li><p>Compact 10-inch full-range NX-series speaker</p></li><li><p>Passive, pole-mountable</p></li><li><p>Touring and installation use</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>NX (10-inch)</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/NX-series/NX-10-main-1000x1000.jpg","NX 10","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/NX-series/NX-10-datasheet.pdf",""
"sting-8-74","true","STING 8 - 74","Dual 8-inch point-source loudspeaker (74-degree horn)","<p>The STING 8 - 74 integrates two 8-inch neodymium woofers with a 1.5-inch neodymium HF driver in a coherent point-source design with a 74-degree horn for focused directivity and high sound power.</p><ul><li><p>Two 8-inch neodymium woofers + 1.5-inch neodymium HF driver</p></li><li><p>Point-source design with rotatable horn</p></li><li><p>74-degree coverage variant</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 8-inch neodymium woofers + 1.5-inch neodymium HF driver</td></tr><tr><td>Dispersion</td><td>70 x 40 / 40 x 70 degrees</td></tr><tr><td>Impedance</td><td>8 Ohm</td></tr><tr><td>Nominal power</td><td>600 W</td></tr><tr><td>Dimensions</td><td>608 x 267 x 350 mm</td></tr><tr><td>Weight</td><td>19.8 kg net</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Sting-series/STING-8-BK-main-1000x1000.jpg","STING 8 - 74","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/Sting-series/Sting-8-74_datasheet.pdf",""
"air-152","true","AIR-152","15-inch coaxial installation loudspeaker","<p>The AIR-152 is a passive installation loudspeaker built around a 15-inch coaxial driver, with multiple mounting-hardware options for fixed installs.</p><ul><li><p>15-inch coaxial driver</p></li><li><p>Installation-focused with versatile mounting</p></li><li><p>IP variant available for outdoor use</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>15-inch coaxial</td></tr><tr><td>Max SPL</td><td>134 dB</td></tr><tr><td>Nominal power</td><td>600 W</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/AIR-series/AIR-152-main-1000x1000.jpg","AIR-152","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/AIR-series/AIR-152_datasheet.pdf",""
"hornet-12","true","HORNET 12","Three-way touring line array module","<p>The HORNET 12 is a large-format three-way touring line array element combining dual 12-inch woofers, quad 6-inch midranges and dual 1.4-inch HF drivers, all neodymium, for high power handling and SPL with an advanced flying-hardware concept.</p><ul><li><p>Three-way line array: 2 x 12-inch + 4 x 6-inch + 2 x 1.4-inch HF</p></li><li><p>All-neodymium, high power handling</p></li><li><p>Advanced flying hardware, ground-cart deployable</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 12-inch woofers (4-inch VC) + 4 x 6-inch mids (1.5-inch VC) + 2 x 1.4-inch HF</td></tr><tr><td>Nominal power</td><td>2600 W</td></tr><tr><td>Max SPL</td><td>144 dB</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Hornet/Hornet-12_main-1000x1000.jpg","HORNET 12","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/Hornet/Hornet-12_datasheet.pdf",""
"fly-6l","true","Fly-6L","Powered compact line array module","<p>The Fly-6L is a compact powered line array module for small concert halls, theaters and clubs, each box driven by a Powersoft 4-channel digital amplifier module with DSP and integrated flying hardware.</p><ul><li><p>4 x 6-inch neodymium mids + 2 x 1-inch neodymium HF drivers</p></li><li><p>Built-in Powersoft amplifier with DSP</p></li><li><p>Integrated flying hardware; lightweight</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>4 x 6-inch neodymium midranges + 2 x 1-inch neodymium HF</td></tr><tr><td>Frequency range</td><td>100-19,000 Hz</td></tr><tr><td>Max SPL</td><td>131.5 dB</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/FLY/Fly-6L_main-1000x1000.jpg","Fly-6L","mag-audio","audio","speaker","https://mag-audio.com/image/catalog/FLY/Fly-6L_datasheet.pdf",""
"sub-18-ip","true","Sub 18 IP","Weather-resistant 18-inch passive subwoofer","<p>The Sub 18 IP is a single-18 vented passive subwoofer with weather resistance for outdoor deployment, delivering serious low end in mobile and fixed installs.</p><ul><li><p>Single 18-inch vented passive subwoofer</p></li><li><p>Weather-resistant (IP) enclosure</p></li><li><p>M10 / install-friendly</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>18-inch with 4-inch voice coil</td></tr><tr><td>Nominal power</td><td>1000 W</td></tr><tr><td>Frequency response</td><td>33-300 Hz (-10 dB)</td></tr><tr><td>Peak SPL</td><td>140 dB</td></tr><tr><td>Sensitivity</td><td>98 dB (1W/1m)</td></tr><tr><td>Impedance</td><td>4/8 Ohm</td></tr><tr><td>Dimensions</td><td>530 x 640 x 665 mm (W x H x D)</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Subwoofer-series/SUB-18-IP-main-1000x1000.jpg","Sub 18 IP","mag-audio","audio","subwoofer","https://mag-audio.com/image/catalog/Subwoofer-series/Sub-18-IP_datasheet.pdf",""
"sub-15","true","Sub 15","Vented 15-inch passive subwoofer","<p>The Sub 15 is a single-15 vented passive subwoofer for mobile and installed systems requiring compact, high-output low frequencies.</p><ul><li><p>Single 15-inch vented passive subwoofer</p></li><li><p>15-inch woofer with 4-inch voice coil</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>15-inch with 4-inch voice coil</td></tr><tr><td>Nominal power</td><td>1000 W</td></tr><tr><td>Peak SPL</td><td>139 dB</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Subwoofer-series/SUB-15-main-1000x1000.jpg","Sub 15","mag-audio","audio","subwoofer","https://mag-audio.com/image/catalog/Subwoofer-series/Sub-15_datasheet.pdf",""
"sub-15-ip","true","Sub 15 IP","Weather-resistant 15-inch passive subwoofer","<p>The Sub 15 IP is the weather-resistant version of the Sub 15 vented subwoofer for outdoor installations.</p><ul><li><p>Weather-resistant 15-inch vented subwoofer</p></li><li><p>Outdoor installation use</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency response</td><td>37-300 Hz (-10 dB)</td></tr><tr><td>Max SPL</td><td>136 dB</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Subwoofer-series/SUB-15-IP-main-1000x1000.jpg","Sub 15 IP","mag-audio","audio","subwoofer","https://mag-audio.com/image/catalog/Subwoofer-series/Sub-15-IP_datasheet.pdf",""
"sub-28a","true","Sub 28A","Powered dual-18-inch subwoofer","<p>The Sub 28A is the powered (active) version of the dual-18 Sub 28, using two highly efficient 18-inch drivers for heavy low end in mobile rigs and fixed installs.</p><ul><li><p>Powered dual 18-inch subwoofer</p></li><li><p>Two efficient 18-inch drivers</p></li><li><p>Active version of the Sub 28</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 18-inch</td></tr><tr><td>Frequency response</td><td>30-220 Hz (-10 dB)</td></tr><tr><td>Max SPL</td><td>144.5 dB peak</td></tr></tbody></table></figure>","https://mag-audio.com/image/cache/catalog/Subwoofer-series/SUB-28-A-main-1000x1000.jpg","Sub 28A","mag-audio","audio","subwoofer","https://mag-audio.com/image/catalog/Subwoofer-series/Sub-28A_datasheet.pdf",""
