Slug,Title,Gallery
bb-psa-ilp,BB-PSA-ILP,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/bb-psa-ilp/bb-psa-ilp_main.png
aw-ls-stake,AW-LS-STAKE,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aw-ls-stake/aw-ls-stake_main.png
lea-xlrf,LEA XLRF,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_main.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_g1.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_g2.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_g3.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_g4.jpg"
ltsensor,LTSENSOR,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/ltsensor/ltsensor_main.png
lea-rcaf-2,LEA RCAF-2,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-rcaf-2/lea-rcaf-2_main.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-rcaf-2/lea-rcaf-2_g1.png,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-rcaf-2/lea-rcaf-2_g2.png"
ctsensor,CTSENSOR,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/ctsensor/ctsensor_main.png
itp-8-stand,ITP-8-STAND,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-8-stand/itp-8-stand_main.png
vtsensor,VTSENSOR,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/vtsensor/vtsensor_main.png
mpe,MPE,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/mpe/mpe_main.png
itp-12-stand,ITP-12-STAND,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-12-stand/itp-12-stand_main.png
