Slug,Thumbnail,Thumbnail:alt,Gallery
ft600sip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip/ft600sip_01.webp,"FT600SIP — Doorphone entry outdoor station, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip/ft600sip_01.webp
ft600sip-3,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip-3/ft600sip-3_01.jpg,FT600SIP-3 — Doorphone entry outdoor post 2 buttons,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip-3/ft600sip-3_01.jpg
ft600ksip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksip/ft600ksip_01.webp,"FT600KSIP — Doorphone entry outdoor post without camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksip/ft600ksip_01.webp
ft600ksipvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksipvc/ft600ksipvc_01.webp,"FT600KSIPVC — Doorphone entry outdoor post with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksipvc/ft600ksipvc_01.webp
ft2501ip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ip/ft2501ip_01.jpg,"FT2501IP — Wizard Elite IP grey 1 button, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ip/ft2501ip_01.jpg
ft2501ipvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ipvc/ft2501ipvc_01.jpg,"FT2501IPVC — Wizard Elite IP Grey. 1 button, with camera, no keypad.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ipvc/ft2501ipvc_01.jpg
ft2503kip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2503kip/ft2503kip_01.jpg,"FT2503KIP — Wizard Elite IP grijs 3 knoppen, zonder camera, met keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2503kip/ft2503kip_01.jpg
db9701ip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_01.jpg,"DB9701IP — Wizard Elite IP grey 1 button, no camera, no keypad","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_02.jpg"
ft2520kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2520kvc/ft2520kvc_01.jpg,"FT2520KVC — Wizard Ap@rtment grey with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2520kvc/ft2520kvc_01.jpg
ftb2520,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftb2520/ftb2520_01.jpg,"FTB2520 — Wizard Ap@rtment black no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftb2520/ftb2520_01.jpg
