Slug,Title,Product Description,Thumbnail,Thumbnail:alt,Gallery
ft600sip,FT600SIP,The FT600SIP is a standalone outdoor station with 2 usable SIP accounts that can be activated simultaneously. FT600W monitors and FT600APP smartphone apps can be ordered for this outpost in addition to using the 2nd SIP account. The outpost has one push button. The supplied black-anodized housing allows on- and flush-mounting (216x116mm).,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip/ft600sip_01.png,"FT600SIP — Doorphone entry outdoor station, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip/ft600sip_01.png
ft600sip-3,FT600SIP-3,<h3>Description</h3><p>The FT600SIP&nbsp; is a standalone outdoor station with 3 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip-3/ft600sip-3_01.jpg,FT600SIP-3 — Doorphone entry outdoor post 2 buttons,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600sip-3/ft600sip-3_01.jpg
ft600ksip,FT600KSIP,<h3>Description</h3><p>The FT600SIP&nbsp; is a standalone outdoor station with keypad and 2 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button and a keypad</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksip/ft600ksip_01.png,"FT600KSIP — Doorphone entry outdoor post without camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksip/ft600ksip_01.png
ft600ksipvc,FT600KSIPVC,"<p dir=""auto"">The FT600SIP&nbsp; is a standalone outdoor station with keypad and 2 usable SIP accounts that can be activated simultaneously. Monitors FT600W and smartphone apps FT600APP can be ordered for this outpost in addition to using the 2nd sip account. The outpost has one push button and a color camera with day-night vision</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksipvc/ft600ksipvc_01.png,"FT600KSIPVC — Doorphone entry outdoor post with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ksipvc/ft600ksipvc_01.png
ft2501ip,FT2501IP,<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ip/ft2501ip_01.jpg,"FT2501IP — Wizard Elite IP grey 1 button, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ip/ft2501ip_01.jpg
ft2501ipvc,FT2501IPVC,<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ipvc/ft2501ipvc_01.png,"FT2501IPVC — Wizard Elite IP Grey. 1 button, with camera, no keypad.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2501ipvc/ft2501ipvc_01.png
ft2503kip,FT2503KIP,"<p dir=""auto"">De Wizard Elite IP is het nieuwe paradepaardje van Fasttel, als opvolger van de Wizard Elite. Zowel het&nbsp;<strong>design als de technische mogelijkheden</strong>&nbsp;van deze videofoon en parlofoon zijn ongekend. Daardoor past hij zowel in&nbsp;<strong>residentiële als industriële projecten</strong>. Een zeldzame combinatie.</p><p dir=""auto"">Er zijn tal van&nbsp;<strong>uitbreidingen, personalisaties, formaten en kleuren mogelijk.</strong></p><p dir=""auto"">Deze videofoon is standaard verkrijgbaar in&nbsp;<strong>zilver en zwart</strong>, maar kan op aanvraag ook in een andere kleur gelakt worden.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2503kip/ft2503kip_01.png,"FT2503KIP — Wizard Elite IP grijs 3 knoppen, zonder camera, met keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2503kip/ft2503kip_01.png
db9701ip,DB9701IP,<h3>Description</h3><p>The Wizard Elite IP is the newest showpiece of Fasttel. Both the high end design as the technical characteristics are unknown. For this reason the Elite IP is usable in both residential as industrial projects. A rare combination!</p><p>Wizard Elite can be fitted with an Ekey fingerprint reader. It is seamlessly integrated into the aluminium frame (picture on tab ‘extensions’).</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_01.jpg,"DB9701IP — Wizard Elite IP grey 1 button, no camera, no keypad","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/db9701ip/db9701ip_02.png"
ft2520kvc,FT2520KVC,"<p dir=""auto"">Wizard Apartment grey<br>with camera, with keypad</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2520kvc/ft2520kvc_01.png,"FT2520KVC — Wizard Ap@rtment grey with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft2520kvc/ft2520kvc_01.png
ftb2520,FTB2520,"<ul dir=""auto""><li data-preset-tag=""p""><p>Scroll names list from anywhere in the world customizable</p></li><li data-preset-tag=""p""><p>Suitable for up to 999 apartments</p></li><li data-preset-tag=""p""><p>Fits in any exterior due to RGB LEDs and freely selectable frame color</p></li><li data-preset-tag=""p""><p>Has an integrated Wiegang/proximity reader for access to own residents</p></li><li data-preset-tag=""p""><p>With integrated camera</p></li><li data-preset-tag=""p""><p>Communicates with any SIP/VoiP device in a home</p></li><li data-preset-tag=""p""><p>The integrated keypad can be used additionally for access codes for quick access.</p></li></ul>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftb2520/ftb2520_01.png,"FTB2520 — Wizard Ap@rtment black no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftb2520/ftb2520_01.png
ftbg2401sip,FTBG2401SIP,<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2401sip/ftbg2401sip_01.png,"FTBG2401SIP — Wizard Bronze IP gold small 1 button, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2401sip/ftbg2401sip_01.png
ftbg2402sip,FTBG2402SIP,<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sip/ftbg2402sip_01.png,"FTBG2402SIP — Wizard Bronze IP gold small 2 buttons, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sip/ftbg2402sip_01.png
ftbg2402sipvc,FTBG2402SIPVC,"<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sipvc/ftbg2402sipvc_01.png,"FTBG2402SIPVC — Wizard Bronze IP gold small 2 button, with camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sipvc/ftbg2402sipvc_01.png
