Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
bb-psa-ilp,false,BB-PSA-ILP,,"<p>Shorty sub or speaker poles, 6.1 inches long, for placing mains atop sub stacks</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/bb-psa-ilp/bb-psa-ilp_main.png,BB-PSA-ILP,bassboss,audio,subwoofer,
aw-ls-stake,false,AW-LS-STAKE,,<p>Stake Mount For SC-OG6/4</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aw-ls-stake/aw-ls-stake_main.png,AW-LS-STAKE,nice,audio,speaker,
lea-xlrf,false,LEA XLRF,,"<p>Female XLR to Amphenol Anytek balanced 3-pin connector for LEA Connect Series products, Provides the ability to input a balanced XLR signal into any Connect Series analog input, 8 inches (203.2mm) in length, Sold one per pack</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_main.png,LEA XLRF,lea,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-xlrf/lea-xlrf_datasheet.pdf
ltsensor,false,LTSENSOR,,<p>LED / Light Sensor</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/ltsensor/ltsensor_main.png,LTSENSOR,nice,control-system,,
lea-rcaf-2,false,LEA RCAF-2,,"<p>Female RCA to Amphenol Anytek balanced 3-pin connector for LEA Connect Series products, Provides the ability to input an unbalanced RCA signal into any Connect Series analog input, 9 inches (228.6mm) in length, Sold in pack of two</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-rcaf-2/lea-rcaf-2_main.png,LEA RCAF-2,lea,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/lea/lea-rcaf-2/lea-rcaf-2_datasheet.pdf
ctsensor,false,CTSENSOR,,<p>Contact Closure Sensor accessory</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/ctsensor/ctsensor_main.png,CTSENSOR,nice,control-system,,
itp-8-stand,false,ITP-8-STAND,,<p>Table Stand for ITP-8 Touch Panel</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-8-stand/itp-8-stand_main.png,ITP-8-STAND,nice,control-system,,
vtsensor,false,VTSENSOR,,<p>Voltage Sensor accessory</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/vtsensor/vtsensor_main.png,VTSENSOR,nice,control-system,,
mpe,false,MPE,,<p>Multi Purpose Pullback Element</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/mpe/mpe_main.png,MPE,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/mpe/mpe_datasheet.pdf
itp-12-stand,false,ITP-12-STAND,,<p>Table Stand for ITP-12 Touch Panel</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-12-stand/itp-12-stand_main.png,ITP-12-STAND,nice,control-system,,
cb1,false,CB1,,<p>Bar for connecting 2 LS bars on an LS118</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/cb1/cb1_main.png,CB1,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/cb1/cb1_datasheet.pdf
cb2,false,CB2,,<p>Bar for connecting 2 LS bars on an LS212</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/cb2/cb2_main.png,CB2,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/cb2/cb2_datasheet.pdf
dfh,false,DFH,,<p>Flyware Head</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/dfh/dfh_main.png,DFH,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/dfh/dfh_datasheet.pdf
